,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,21.678,39.733,26.603,52.143
Run 2,21.98,33.259,28.475,38.841
Run 3,20.912,38.747,27.689,48.77
Run 4,20.856,40.825,26.186,49.881
Run 5,21.375,39.343,26.419,50.437
Mean,21.36,38.381,27.074,48.014
95% CI,"(20.758, 21.962)","(34.704, 42.059)","(25.867, 28.282)","(41.47, 54.559)"
