,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,23.713,46.528,30.359,56.798
Run 2,27.375,31.582,34.531,39.751
Run 3,24.358,47.405,30.458,60.552
Run 4,25.825,30.572,32.956,35.932
Run 5,26.004,43.864,31.576,52.106
Mean,25.455,39.99,31.976,49.028
95% CI,"(23.66, 27.25)","(29.749, 50.232)","(29.775, 34.177)","(35.709, 62.346)"
