,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,11.424,30.343,14.925,37.812
Run 2,11.379,29.043,14.668,39.471
Run 3,11.516,28.988,14.88,37.228
Run 4,11.248,32.846,14.711,42.957
Run 5,11.424,33.28,14.957,41.794
Mean,11.398,30.9,14.828,39.852
95% CI,"(11.277, 11.519)","(28.35, 33.45)","(14.666, 14.99)","(36.773, 42.932)"
