,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,14.866,39.366,19.311,50.804
Run 2,14.775,40.285,19.205,50.757
Run 3,15.04,39.07,19.634,50.632
Run 4,15.018,40.328,19.424,51.457
Run 5,14.978,39.862,19.329,51.884
Mean,14.935,39.782,19.381,51.107
95% CI,"(14.796, 15.074)","(39.092, 40.473)","(19.18, 19.581)","(50.436, 51.777)"
