,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,38.891,34.599,48.175,43.282
Run 2,37.806,39.786,47.603,47.517
Run 3,39.244,40.282,46.281,53.464
Run 4,36.354,50.607,45.226,58.746
Run 5,38.509,41.533,46.49,54.002
Mean,38.161,41.361,46.755,51.402
95% CI,"(36.743, 39.579)","(34.151, 48.572)","(45.317, 48.193)","(43.901, 58.903)"
