,g,h,a,b,c,d
Run 1,-9.706,372.031,-0.094,0.016,-0.079,-0.031
Run 2,-6.597,348.419,-0.1,0.011,-0.088,-0.034
Run 3,-9.906,375.29,-0.099,0.023,-0.078,-0.031
Run 4,-2.823,355.755,-0.07,0.013,-0.074,-0.033
Run 5,-1.875,338.029,-0.066,0.01,-0.082,-0.043
Mean,-6.181,357.905,-0.086,0.015,-0.08,-0.034
95% CI,"(-10.839, -1.523)","(338.357, 377.453)","(-0.106, -0.065)","(0.008, 0.021)","(-0.087, -0.074)","(-0.041, -0.028)"
