,g,h,a,b,c,d
Run 1,-11.946,426.135,-0.073,0.022,-0.059,-0.019
Run 2,-14.797,437.765,-0.081,0.019,-0.059,-0.014
Run 3,-13.683,437.872,-0.084,0.023,-0.053,-0.02
Run 4,-9.762,424.688,-0.064,0.016,-0.047,-0.029
Run 5,-14.42,441.757,-0.077,0.021,-0.051,-0.015
Mean,-12.922,433.643,-0.076,0.02,-0.054,-0.019
95% CI,"(-15.502, -10.341)","(424.08, 443.207)","(-0.085, -0.066)","(0.017, 0.024)","(-0.06, -0.047)","(-0.027, -0.012)"
