,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,0.10050433551498454,0.17684166023087136,0.33685331018909465,0.2515216105785803,0.1342790834864691
Run 2,0.10197928143170196,0.1627558012545158,0.40704746553750043,0.19042435994158333,0.13779309183469854
Run 3,0.0859200034495513,0.1644824524929443,0.48852078362035417,0.15688291543254418,0.10419384500460613
Run 4,0.0500258704652794,0.24551053606011536,0.4747527202497631,0.11760111182751268,0.11210976139732955
Run 5,0.09412133331745805,0.21222238082837122,0.4506481582347967,0.09080288577829053,0.1522052418410836
Mean,0.087,0.192,0.432,0.161,0.128
95% CI,"(0.06, 0.113)","(0.148, 0.237)","(0.355, 0.508)","(0.083, 0.24)","(0.104, 0.152)"
