,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,24.947,24.495,30.238,29.365
Run 2,24.387,27.178,29.363,32.472
Run 3,24.657,25.453,29.736,32.909
Run 4,24.526,26.956,29.364,32.493
Run 5,25.445,22.485,30.703,26.839
Mean,24.792,25.313,29.881,30.816
95% CI,"(24.272, 25.313)","(22.92, 27.707)","(29.157, 30.605)","(27.539, 34.092)"
