,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,33.49,30.397,44.781,36.921
Run 2,33.541,32.217,43.568,43.508
Run 3,32.95,37.901,43.977,43.531
Run 4,31.743,44.057,40.146,58.058
Run 5,30.939,39.901,40.358,56.12
Mean,32.533,36.895,42.566,47.628
95% CI,"(31.107, 33.958)","(29.941, 43.848)","(39.886, 45.246)","(36.362, 58.894)"
