,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,30.566,45.854,41.418,55.503
Run 2,34.224,31.098,45.65,40.288
Run 3,33.218,35.645,43.906,48.426
Run 4,32.842,39.591,44.207,47.259
Run 5,33.819,31.227,44.792,43.836
Mean,32.934,36.683,43.995,47.062
95% CI,"(31.162, 34.705)","(28.964, 44.402)","(42.025, 45.965)","(39.999, 54.126)"
