,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 64,0.13304757112545915,0.11218937409571962,0.41191143456344326,0.23558537254617967,0.10726624766919816
Run 65,0.13489406836799808,0.09551767900738428,0.43694261295970355,0.1990760840965405,0.13356955556837358
Run 66,0.1103523281816397,0.12722238432760535,0.4942231062453184,0.18264127799684854,0.085560903248588
Run 67,0.11932885212520883,0.11514290597922998,0.45199500214337335,0.20902098322841484,0.10451225652377294
Run 68,0.13439490572739912,0.1318670537639334,0.49039065008971905,0.1727988726607879,0.07054851775816039
Run 69,0.11933254843786115,0.12442811714043338,0.537640703027533,0.13427278390760083,0.08432584748657179
Run 70,0.07155387886763871,0.15198086506939432,0.4821438607547122,0.1567732793339119,0.137548115974343
Run 71,0.11408524444784282,0.12528382667470256,0.45398386438094485,0.19220649800165873,0.11444056649485121
Run 72,0.13753151384413875,0.09548256166723995,0.44014868839392846,0.21778152849106383,0.10905570760362913
Run 73,0.1270196999090679,0.1289739055055601,0.48345900571466244,0.17773051332389045,0.082816875546819
Run 74,0.19277538345576858,0.13002323907414184,0.3881476251077595,0.20492251608736262,0.08413123627496723
Run 75,0.16440325464528022,0.13227261053988296,0.45441559588427916,0.14099808377714868,0.10791045515340908
Run 76,0.16918032580698902,0.11279424512787845,0.29841048918359253,0.2982128278804963,0.12140211200104384
Run 77,0.10936388601437405,0.14990104126321172,0.44125260221088325,0.17702232881576718,0.12246014169576376
Run 78,0.11414658742065865,0.152401577392583,0.44563575444245496,0.14405795701438812,0.14375812372991517
Run 79,0.13640502561103926,0.10918008048352987,0.45457595620081404,0.20494978908782013,0.09488914861679665
Run 80,0.12936286733614666,0.11316928677418234,0.49295947411701496,0.16103721120060935,0.10347116057204682
Run 81,0.0977238132346107,0.11901244233440722,0.4314290043539327,0.2066126537455771,0.1452220863314723
Run 82,0.09919536953871233,0.15561909159947152,0.5305654564411842,0.12506203418170464,0.08955804823892743
Run 83,0.13764434199394282,0.1308129020217755,0.4194165682029715,0.2057127584938888,0.10641342928742151
Run 84,0.13329204434803096,0.11221298173888826,0.3988793347431108,0.25863171511068367,0.0969839240592862
Run 85,0.1545824643638399,0.11520320223806474,0.4254784147495302,0.1835790323406082,0.12115688630795687
Run 86,0.11741053703860686,0.11033754109060634,0.4860009137382374,0.2026046498909736,0.08364635824157578
Run 87,0.09469937983910658,0.0955719327552292,0.406716386722949,0.2848736152443777,0.11813868543833744
Run 88,0.11585678888692975,0.12488624301447206,0.4095096522073046,0.22905041583140356,0.12069690005988998
Run 89,0.15164803300750157,0.1457345739036146,0.41252281352944353,0.16691432843852896,0.12318025112091141
Run 90,0.08564703386232099,0.14948854729247396,0.4698735328404112,0.17250133250517338,0.12248955349962037
Run 91,0.14147222974182222,0.13603858547415923,0.3874332499355698,0.209716442902948,0.12533949194550056
Run 92,0.11700527782616572,0.15282476953965676,0.3795085697286473,0.22121767610166368,0.1294437068038664
Run 93,0.12519508326431056,0.10265430779049356,0.4597255992458976,0.19220784353628137,0.12021716616301689
Run 94,0.10236864107815186,0.12309012864511489,0.3996653735282136,0.23884872836552914,0.13602712838299064
Run 95,0.1571185501284277,0.10894265569829231,0.3394455160143477,0.24045985334274164,0.15403342481619073
Run 96,0.12382317478446049,0.12573088949587052,0.39374394026226345,0.24997049762818177,0.10673149782922368
Run 97,0.1364559337565883,0.14266061240168196,0.4341146207212114,0.18256441576671287,0.10420441735380553
Run 98,0.12737050545286588,0.10786808951883531,0.47219211661676436,0.1675366349311889,0.12503265348034556
Run 99,0.12554881383475466,0.10078472593053218,0.40303744415985,0.26235277517882555,0.10827624089603766
Run 100,0.12607422338758179,0.11728111322822408,0.35929465265346605,0.2606796682248326,0.13667034250589552
Mean,0.129,0.128,0.431,0.197,0.115
95% CI,"(0.124, 0.134)","(0.123, 0.132)","(0.422, 0.44)","(0.189, 0.205)","(0.111, 0.119)"
