,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 85,0.08887562611305083,0.20760087737655378,0.43692356021156475,0.15365180245541235,0.11294813384341826
Run 86,0.06552722138920443,0.20773503950488137,0.5036346821199366,0.13665294130091327,0.08645011568506432
Run 87,0.09395508990014086,0.19602018174917146,0.42302977077238557,0.19604963047851098,0.09094532709979129
Run 88,0.08271408817257733,0.1943901504363456,0.42781446168331666,0.13984861765962175,0.15523268204813867
Run 89,0.09090161811836353,0.1951569831566429,0.4519573670880745,0.14077773094739582,0.12120630068952312
Run 90,0.11791900140233709,0.19089106182839136,0.4457260859644821,0.1392396331640632,0.10622421764072634
Run 91,0.08274012233573246,0.1682195166200637,0.41987248784948733,0.2221931297208959,0.10697474347382069
Run 92,0.07782948823605255,0.17712348250585208,0.45465163126912406,0.19939065771897738,0.09100474026999406
Run 93,0.12477526924153703,0.1672738658437393,0.3994687729899976,0.1836369548817387,0.12484513704298726
Run 94,0.10561201468350509,0.1746018775512535,0.389878886063354,0.1988183264565156,0.13108889524537193
Run 95,0.0867014668009858,0.2405925426989474,0.4187337452929581,0.13961448222343306,0.11435776298367556
Run 96,0.1293701832155767,0.13651855487276024,0.42431497435593213,0.18809357838419064,0.12170270917154033
Run 97,0.13977194322198128,0.19073892193037523,0.4232525073018406,0.17916595435293467,0.06707067319286829
Run 98,0.08411074198162806,0.18539683682416194,0.43196387472460535,0.1642262569507201,0.13430228951888443
Run 99,0.07729773683183734,0.2157368414672142,0.4623090262947685,0.14320356776779394,0.101452827638386
Run 100,0.09143465020826497,0.2281454525785302,0.4081403154888358,0.12419021421715506,0.14808936750721396
Mean,0.096,0.195,0.432,0.164,0.113
95% CI,"(0.092, 0.1)","(0.189, 0.2)","(0.426, 0.439)","(0.158, 0.17)","(0.108, 0.118)"
