,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,41.793,49.631,53.675,60.447
Run 2,42.691,35.225,55.895,43.991
Run 3,42.008,37.637,55.541,46.121
Run 4,41.068,46.629,50.073,76.36
Run 5,40.975,46.863,53.758,55.702
Mean,41.707,43.197,53.788,56.524
95% CI,"(40.827, 42.587)","(35.318, 51.076)","(50.921, 56.655)","(40.397, 72.652)"
