,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,40.8,45.436,53.55,54.971
Run 2,42.629,35.83,55.901,44.46
Run 3,42.735,33.139,56.736,38.891
Run 4,41.045,45.222,50.236,70.905
Run 5,42.636,33.778,54.965,47.967
Mean,41.969,38.681,54.278,51.439
95% CI,"(40.777, 43.161)","(31.045, 46.317)","(51.111, 57.444)","(36.11, 66.767)"
