,g,h,a,b,c,d
Run 1,3.144,280.87,-0.036,-0.014,-0.109,-0.044
Run 2,-0.251,321.627,-0.09,-0.008,-0.082,-0.036
Run 3,-12.258,388.584,-0.1,0.023,-0.078,-0.023
Run 4,0.36,312.547,-0.06,-0.009,-0.087,-0.033
Run 5,3.183,291.643,-0.051,-0.012,-0.098,-0.048
Mean,-1.164,319.054,-0.067,-0.004,-0.091,-0.037
95% CI,"(-9.107, 6.779)","(266.769, 371.34)","(-0.101, -0.034)","(-0.023, 0.015)","(-0.106, -0.075)","(-0.049, -0.025)"
