,h,a,b,c,d
Run 1,416.065,-0.042,0.022,-0.044,-0.026
Run 2,400.473,-0.066,0.017,-0.052,-0.021
Run 3,401.578,-0.057,0.019,-0.05,-0.032
Run 4,422.621,-0.049,0.017,-0.036,-0.019
Run 5,408.608,-0.057,0.015,-0.045,-0.026
Mean,409.869,-0.054,0.018,-0.045,-0.025
95% CI,"(398.096, 421.642)","(-0.065, -0.043)","(0.015, 0.021)","(-0.053, -0.038)","(-0.031, -0.019)"
