,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,42.548,37.705,55.74,49.028
Run 2,40.015,47.327,53.653,58.791
Run 3,43.085,33.971,56.795,43.834
Run 4,40.915,45.735,54.015,57.243
Run 5,41.459,41.704,54.719,53.469
Mean,41.604,41.288,54.984,52.473
95% CI,"(40.07, 43.138)","(34.409, 48.168)","(53.386, 56.583)","(44.865, 60.081)"
