,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,31.164,42.953,43.261,49.444
Run 2,32.697,40.011,42.613,53.204
Run 3,32.818,36.253,43.91,47.628
Run 4,33.566,38.203,43.571,49.53
Run 5,33.841,32.875,44.117,47.021
Mean,32.817,38.059,43.494,49.365
95% CI,"(31.521, 34.113)","(33.334, 42.784)","(42.76, 44.228)","(46.37, 52.361)"
