,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,35.508,36.231,47.244,46.838
Run 2,37.468,36.989,46.322,51.193
Run 3,39.542,23.912,50.095,30.821
Run 4,35.253,40.444,45.308,53.556
Run 5,35.901,36.357,47.61,45.534
Mean,36.734,34.787,47.316,45.588
95% CI,"(34.512, 38.957)","(26.942, 42.631)","(45.092, 49.54)","(34.578, 56.599)"
