,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,26.282,19.688,31.305,24.601
Run 2,23.588,30.738,28.503,35.468
Run 3,24.927,24.478,30.341,28.842
Run 4,24.331,27.303,29.173,33.241
Run 5,24.539,27.189,29.634,31.479
Mean,24.733,25.879,29.791,30.726
95% CI,"(23.5, 25.967)","(20.773, 30.985)","(28.451, 31.131)","(25.516, 35.937)"
