,g,h,a,b,c,d
Run 1,-23.377,575.659,-0.068,0.05,0.013,0.019
Run 2,-19.655,521.474,-0.068,0.037,-0.023,0.014
Run 3,-25.078,575.564,-0.072,0.049,0.005,0.022
Run 4,-22.32,585.638,-0.047,0.049,0.024,0.016
Run 5,-15.036,500.247,-0.059,0.033,-0.024,-0.002
Mean,-21.093,551.716,-0.063,0.044,-0.001,0.014
95% CI,"(-25.956, -16.23)","(504.206, 599.227)","(-0.075, -0.05)","(0.034, 0.054)","(-0.028, 0.026)","(0.002, 0.025)"
