label,w,w_abs
index,1.5382795768931985,1.5382795768931985
Molecular Weight,6.1106445566891106,6.1106445566891106
ABC,-0.17420705333969258,0.17420705333969258
ABCGG,-1.3631937866281947,1.3631937866281947
nAcid,0.3969183531673049,0.3969183531673049
nBase,0.23702051239854222,0.23702051239854222
nAromAtom,-0.5882333419359996,0.5882333419359996
nAromBond,-0.5433412432328416,0.5433412432328416
nAtom,0.11434358175520068,0.11434358175520068
nHeavyAtom,0.20223982674623545,0.20223982674623545
nSpiro,1.9392377373698089,1.9392377373698089
nBridgehead,-1.3095252473623367,1.3095252473623367
nHetero,0.8879812901807987,0.8879812901807987
nH,-0.09193342654151779,0.09193342654151779
nB,-0.28308612985186815,0.28308612985186815
nC,-0.12872043330682337,0.12872043330682337
nN,1.5036806525244195,1.5036806525244195
nO,0.007231920404925096,0.007231920404925096
nS,0.40723314798357513,0.40723314798357513
nP,1.0464337073049672,1.0464337073049672
nF,-0.5829910400670487,0.5829910400670487
nCl,-0.5453098711927387,0.5453098711927387
nBr,-0.7460207677748248,0.7460207677748248
nI,0.0,0.0
nX,-0.851723703108574,0.851723703108574
ATS0dv,0.36360468387976685,0.36360468387976685
ATS1dv,0.9348928066948686,0.9348928066948686
ATS2dv,-0.14136228632782522,0.14136228632782522
ATS3dv,1.1174206495109618,1.1174206495109618
ATS4dv,-0.8956940940274112,0.8956940940274112
ATS5dv,-2.510231063969508,2.510231063969508
ATS6dv,2.6597520764798745,2.6597520764798745
ATS7dv,2.8830538565461183,2.8830538565461183
ATS8dv,-0.2178256498975125,0.2178256498975125
ATS0d,0.5694001539749137,0.5694001539749137
ATS1d,0.5086011873031716,0.5086011873031716
ATS2d,0.19278842896778764,0.19278842896778764
ATS3d,-0.5958659603155552,0.5958659603155552
ATS4d,-0.48529536430862463,0.48529536430862463
ATS5d,0.2349114472088798,0.2349114472088798
ATS6d,1.4615800916675674,1.4615800916675674
ATS7d,0.7695518491564907,0.7695518491564907
ATS8d,-0.8005997262135457,0.8005997262135457
ATS0Z,-0.21034755311045147,0.21034755311045147
ATS1Z,0.8821925596011724,0.8821925596011724
ATS2Z,-0.4734782855747562,0.4734782855747562
ATS3Z,1.3737018371947718,1.3737018371947718
ATS4Z,-1.0629973202133456,1.0629973202133456
ATS5Z,-2.1549122676667753,2.1549122676667753
ATS6Z,-0.32713180821355786,0.32713180821355786
ATS7Z,-2.2892797459329177,2.2892797459329177
ATS8Z,0.18492268274512044,0.18492268274512044
ATS0m,-0.31582557952101853,0.31582557952101853
ATS1m,0.8602053513279042,0.8602053513279042
ATS2m,-0.575927895132503,0.575927895132503
ATS3m,1.3631236196898493,1.3631236196898493
ATS4m,-1.2111638398803584,1.2111638398803584
ATS5m,-2.505876672079014,2.505876672079014
ATS6m,-0.8223333676589544,0.8223333676589544
ATS7m,-2.4868532191221098,2.4868532191221098
ATS8m,0.6853760492388073,0.6853760492388073
ATS0v,0.1158864408288061,0.1158864408288061
ATS1v,0.21248368672584825,0.21248368672584825
ATS2v,0.12293007977221213,0.12293007977221213
ATS3v,-0.29087860626471296,0.29087860626471296
ATS4v,-1.1093458481477143,1.1093458481477143
ATS5v,-0.7676725001074144,0.7676725001074144
ATS6v,0.361342324220834,0.361342324220834
ATS7v,-0.5050732123591353,0.5050732123591353
ATS8v,-0.1861875645364147,0.1861875645364147
ATS0se,0.1117031875707208,0.1117031875707208
ATS1se,0.44083063321329474,0.44083063321329474
ATS2se,-0.14011181145286572,0.14011181145286572
ATS3se,0.7007144160805376,0.7007144160805376
ATS4se,-0.23912194173009974,0.23912194173009974
ATS5se,0.34442851773968486,0.34442851773968486
ATS6se,0.7297665917322307,0.7297665917322307
ATS7se,-0.032493512966513156,0.032493512966513156
ATS8se,-0.5258208662697245,0.5258208662697245
ATS0pe,0.15669358042870157,0.15669358042870157
ATS1pe,0.49268145772551986,0.49268145772551986
ATS2pe,-0.09937826139525197,0.09937826139525197
ATS3pe,0.7051682543084149,0.7051682543084149
ATS4pe,-0.2511516354911813,0.2511516354911813
ATS5pe,0.2959912921001704,0.2959912921001704
ATS6pe,0.8678195222080921,0.8678195222080921
ATS7pe,-0.10586617537917396,0.10586617537917396
ATS8pe,-0.5875928277304402,0.5875928277304402
ATS0are,0.17795978872610693,0.17795978872610693
ATS1are,0.532542773041952,0.532542773041952
ATS2are,-0.08181417972496827,0.08181417972496827
ATS3are,0.7474077558751406,0.7474077558751406
ATS4are,-0.2590905618436706,0.2590905618436706
ATS5are,0.346244341792398,0.346244341792398
ATS6are,0.9393559773172087,0.9393559773172087
ATS7are,-0.09863624486080969,0.09863624486080969
ATS8are,-0.5929148747528865,0.5929148747528865
ATS0p,-0.020354614624849623,0.020354614624849623
ATS1p,0.19659593391861307,0.19659593391861307
ATS2p,0.08510495545837019,0.08510495545837019
ATS3p,-0.25112817223811945,0.25112817223811945
ATS4p,-1.273265048726542,1.273265048726542
ATS5p,-0.9119442908068457,0.9119442908068457
ATS6p,-0.13123703708882972,0.13123703708882972
ATS7p,-0.2841812865355681,0.2841812865355681
ATS8p,-0.3489460856439771,0.3489460856439771
ATS0i,0.10256006921302983,0.10256006921302983
ATS1i,0.4493333181892265,0.4493333181892265
ATS2i,0.07312851832586693,0.07312851832586693
ATS3i,0.4984855353791917,0.4984855353791917
ATS4i,-0.1062769883773276,0.1062769883773276
ATS5i,0.7357163871649383,0.7357163871649383
ATS6i,0.7145561884629483,0.7145561884629483
ATS7i,0.25106467163294693,0.25106467163294693
ATS8i,-0.7435777381438701,0.7435777381438701
