Compound,Chemical Name,sigma,tau,SP3 (LIN),SP3 (BR),SP2,ROT,Ring,V_m (nm3),1/V_m,r_m (nm),T_m (K),T_m range (K),Eccentricity(Ear),Eccentricity(Eal),T_m Source,Link for V_m,,,,,,,
,2-[(E)-2-phenylethenyl]anthraquinone,1,1,0,0,2,,2,0.3714675,2.692025547,0.445941001,469,468-470,21,1,Reaxys ID:,5380562,"Sugihara, Toru; Satoh, Tetsuya; Miura, Masahiro; Nomura, Masakatsu[Advanced Synthesis and Catalysis, 2004, vol. 346, # 13-15, p. 1765 - 1772]",,,,,,
,"4,5-Bis(Dimethylamino)Benzo-1,2-Quinone",2,1.5,0,2,0,,1,0.25032,3.994886545,0.39096299,422,,6,1,Reaxys ID:,2108382,"Horner; Lang[Chemische Berichte, 1956, vol. 89, p. 2768,2773]",,,,,,
,"2-(1,5-dimethyl-4-hexenyl)-3-hydroxy-5-methyl-6-phenylamine-1,4-benzoquinone",1,5,2,1,2,,1,0.45914,2.177984928,0.478577386,405.5,405-406,6,1,181013,,,,,,,,
,"2-(4-Iodophenyl)-1,4-benzoquinone",1,0,0,0,0,,2,0.26064,3.836709638,0.396263574,405.5,403-408,12,1,808931,,,,,,,,
,"2-(2,5-Dimethoxybenzene)-5-methoxy-1,4-benzoquinone",1,3,3,0,0,,2,0.3298275,3.031887881,0.428613736,436.5,436-437,12,1,233509,,,,,,,,
,"5-Dimethylamino-2-phenyl-4,7-dioxobenzothiazole",1,1,0,1,0,,1,0.334155,2.992623184,0.430480138,462,461-463,15,1,1109745,,,,,,,,
,"2,5-bis(1,1,3,3-Tetramethylbutyl)-1,4-benzoquinone",2,5.5,2,4,0,,1,0.52924,1.889501927,0.501789247,411,,6,1,1113563,,,,,,,,
,"2-t-butyl-6,6-dimethyl-4H-indolo[1,2-a]indole-1,4(6H)-dione",1,0.5,0,1,0,,1,0.413955,2.415721516,0.462332945,481,,13,3,1053149,,,,,,,,
,"5-Hydroxy-2-methoxy-9,10-dihydrophenanthrene-1,4-dione",1,0.5,1,0,0,,1,0.28985,3.450060376,0.410545754,422,421-423,11,4,848411,,,,,,,,
,"2-Amino-3,5,6-trichloro-1,4-benzoquinone",1,0,0,1,0,,1,0.20402,4.901480247,0.365197709,434.5,433-436,6,1,1124772,,,,,,,,
,"(R)-2,3-Dimethoxy-5-(1-phenylallyl)-1,4-benzoquinone",1,3,2,1,1,,2,0.3750525,2.666293386,0.44737099,315,314-316,12,1,1124922,,,,,,,,
,"6-Chloromethyl-2-hydroxy-3,5-dimethyl-1,4-benzoquinone",1,0.5,1,0,0,,1,0.22819,4.382312985,0.379084476,342,,6,1,1127605,,,,,,,,
,Conacytone,1,0.5,0,1,0,,1,0.4721625,2.117914913,0.483059871,513,,5,12,1129423,,,,,,,,
,"(2.2)(2,5)-(2,6)-p-Benzoquinonophane",1,0,0,0,0,,1,0.309805,3.227836865,0.419758924,470,,9,7,1135939,,,,,,,,
,"14,17-Dimethoxy(3)(2,6)-p-benzoquinono(3)paracyclophane",1,1.5,2,0,0,,1,0.4173525,2.396056092,0.463594352,445,,9,9,1135940,,,,,,,,
,"syn-13,16-Dimethoxy(2)(2,6)-p-benzoquinono(2)metacyclophane",1,1.5,2,0,0,,1,0.37831125,2.643326097,0.448662958,417.5,417-418,9,7,1137712,,,,,,,,
,"1,6-Dimethyl-1H-indazole-4,7-dione",2,0,0,0,0,,1,0.209545,4.772244625,0.368464992,400,398-402,9,1,1140733,,,,,,,,
,"methyl 3-(5-(cyclohexylsulfanyl)-3,6-dioxocyclohexa-1,4-dienylsulfanyl)propanoate",1,5.5,5,0,1,,1,0.40576375,2.464488264,0.459263092,370,369-371,6,1,635870,,,,,,,,
,"methyl 3-(4-(cyclohexylsulfanyl)-3,6-dioxocyclohexa-1,4-dienylsulfanyl)propanoate",1,5.5,5,0,1,,1,0.403065,2.480989419,0.458242634,409.5,409-410,6,1,635871,,,,,,,,
