Compound,Hm(kJ/mol),Hm (J/mol),,MW,V_m (nm3),1/Vm,(1/Vm)/10,1/(Vm^2),1/Hm,sigma,tau,Eccentricity(Ear),Eccentricity(Eal),T_m (K),,,
2-Isopropyltoluene,10,10000,154.28,,0.2561939555,3.903292715,,15.23569402,0.1,1,0.5,6,1,201.64,2.201646357,0.6995508,2.712904644
"1,3-Diethylbenzene",10.97,10970,155.35,,0.2579707738,3.876408111,,15.02653984,0.09115770283,2,1.5,6,1,189.1,2.688204055,0.7040351,3.03987075
3-Propyltoluene,10.59,10590,155.89,,0.2588674859,3.862980307,,14.92261685,0.09442870633,1,1.5,6,1,190.5,2.681490153,0.7085194,3.025871612
4-Propyltoluene,11.51,11510,156.43,,0.2597641979,3.849645209,,14.81976823,0.08688097307,1,1.5,6,1,209.4,2.674822604,0.7130037,3.011992345
"1,2-Diethylbenzene",16.78,16780,152.52,,0.2532713384,3.948334645,,15.58934647,0.05959475566,2,1.5,6,1,241.8,2.724167322,0.717488,3.070009281
Butylbenzene,11.22,11220,156.07,,0.2591663899,3.858525021,,14.88821534,0.08912655971,1,2.5,6,1,185.3,3.17926251,0.7219723,3.368116304
"1,4-Diethylbenzene",10.59,10590,155.71,,0.2585685819,3.867445893,,14.95713774,0.09442870633,2,1.5,6,1,230.17,2.683722947,0.7264566,3.007522546
2-Propyltoluene,14.77,14770,154.28,,0.2561939555,3.903292715,,15.23569402,0.06770480704,1,1.5,6,1,212.7,2.701646357,0.7309409,3.024960245
"1,2-Dimethyl-4-ethylbenzene",12.05,12050,154.1,,0.2558950515,3.907852044,,15.2713076,0.08298755187,1,0.5,6,1,206.1,2.203926022,0.7354252,2.654741909
"1,2,3,4-Tetramethylbenzene",11.23,11230,148.31,,0.2462803055,4.060413998,,16.48696183,0.08904719501,2,0,6,1,265.4,2.030206999,0.7399095,2.558244552
Decalin,14.41,14410,154.3,,0.2562271671,3.902786779,,15.23174464,0.0693962526,2,0,1,10,242.7,1.95139339,0.7443938,2.450181638
trans-Bicyclo[4.4.0]decane,11.62,11620,157.1,,0.2608767851,3.833227244,,14.6936311,0.08605851979,1,0,1,10,242.4,1.916613622,0.7488781,2.397917276
cis-Bicyclo[4.4.0]decane,14.43,14430,154.12,,0.255928263,3.907344926,,15.26734437,0.0693000693,1,0,1,10,242.7,1.953672463,0.7533624,2.43552155
1-Decene,21.76,21760,189.3,,0.3143473929,3.181193872,,10.11999445,0.04595588235,1,6.5,1,1,207,4.840596936,0.7578467,4.438767008
Butylcyclohexane,14.14,14140,175.56,,0.2915310528,3.430166325,,11.76604102,0.07072135785,1,2.5,1,6,198.4,2.965083162,0.762331,3.075619013
"2,2,5,5-Tetramethylhexane",9.8,9800,197.9,,0.3286283627,3.042950985,,9.259550699,0.1020408163,2,3,1,1,258,3.021475493,0.7668153,3.026483249
"2,2,4,5-Tetramethylhexane",14,14000,193.59,,0.321471272,3.110697867,,9.676441217,0.07142857143,1,3,1,1,219,3.055348933,0.7712996,3.068007257
"2,4,6-Trimethylheptane",10,10000,196.8,,0.326801727,3.05995935,,9.363351221,0.1,2,4,1,1,219,3.529979675,0.7757839,3.424593551
"2,3,3,5-Tetramethylhexane",11,11000,190.99,,0.3171537695,3.153044662,,9.941690641,0.09090909091,1,3,1,1,260.56,3.076522331,0.7802682,3.093336721
"2,5,5-Trimethylheptane",11,11000,192.28,,0.319295915,3.131890992,,9.808741188,0.09090909091,1,4,1,1,219,3.565945496,0.7847525,3.472516349
"2,2-Dimethyl-3-ethylhexane",14,14000,192.28,,0.319295915,3.131890992,,9.808741188,0.07142857143,1,4,1,1,219,3.565945496,0.7892368,3.47446278
"3,3,5-Trimethylheptane",14,14000,191.51,,0.31801727,3.144483317,,9.88777533,0.07142857143,1,4,1,1,219,3.572241658,0.7937211,3.484004138
"2,4-Dimethyloctane",16,16000,194.92,,0.3236798406,3.089472604,,9.544840972,0.0625,1,5,1,1,219.16,4.044736302,0.7982054,3.851969246
4-Propylheptane,18,18000,193.33,,0.3210395218,3.114881291,,9.702485457,0.05555555556,4,6,1,1,219,4.557440646,0.8026897,4.272808827
"3,5-Dimethyloctane",15,15000,193.07,,0.3206077715,3.119075983,,9.728634987,0.06666666667,1,5,1,1,219.16,4.059537991,0.807174,3.878192464
"2,5-Dimethyloctane",16,16000,194.92,,0.3236798406,3.089472604,,9.544840972,0.0625,1,5,1,1,219.16,4.044736302,0.8116583,3.864820313
"2,6-Dimethyloctane",16,16000,195.45,,0.3245599469,3.081094909,,9.493145839,0.0625,1,5,1,1,219.16,4.040547455,0.8161426,3.864145004
"2,2,3,3-Tetramethylhexane",12.4,12400,186.24,,0.3092660246,3.233462199,,10.45527779,0.08064516129,1,3,1,1,219,3.1167311,0.8206269,3.137669519
"2,7-Dimethyloctane",17.3,17300,196.53,,0.326353371,3.064163232,,9.389096313,0.05780346821,2,5,1,1,218.1,4.032081616,0.8251112,3.862803531
2-Methyl-5-ethylheptane,15,15000,194.39,,0.3227997343,3.097895982,,9.596959517,0.06666666667,1,5,1,1,219,4.048947991,0.8295955,3.886884449
"2,4-Dimethyl-4-ethylhexane",15,15000,189.72,,0.3150448356,3.174151381,,10.07523699,0.06666666667,1,4,1,1,219,3.58707569,0.8340798,3.518563206
"3,4,4-Trimethylheptane",12,12000,189.72,,0.3150448356,3.174151381,,10.07523699,0.08333333333,1,4,1,1,219,3.58707569,0.8385641,3.520414883
"3,6-Dimethyloctane",15,15000,193.33,,0.3210395218,3.114881291,,9.702485457,0.06666666667,1,5,1,1,219.16,4.057440646,0.8430484,3.909504447
"3,3-Dimethyloctane",16,16000,192.54,,0.3197276652,3.127661785,,9.782268239,0.0625,1,5,1,1,219,4.063830892,0.8475327,3.921095716
"3,4-Diethylhexane",15,15000,189.47,,0.3146296911,3.178339579,,10.10184248,0.06666666667,4,5,1,1,219,4.089169789,0.852017,3.954382402
5-Methylnonane,16.65,16650,194.12,,0.3223513783,3.102204822,,9.623674756,0.06006006006,2,6,1,1,186.7,4.551102411,0.8565013,4.34318749
2-Methylnonane,17.49,17490,195.99,,0.3254566589,3.072605745,,9.440906065,0.05717552887,1,6,1,1,198.8,4.536302873,0.8609856,4.332827895
3-Methylnonane,18.7,18700,194.92,,0.3236798406,3.089472604,,9.544840972,0.05347593583,1,6,1,1,188.5,4.544736302,0.8654699,4.348959531
n-Decane,28.7,28700,194.92,,0.3236798406,3.089472604,,9.544840972,0.03484320557,2,7,1,1,243.3,5.044736302,0.8699542,4.79046247
1-Methylnaphthalene,11.93,11930,138.73,,0.2303719694,4.340805882,,18.8425957,0.08382229673,1,0,10,1,242.7,2.170402941,0.8744385,2.44292199
1-Undecene,26.19,26190,205.73,,0.3416306875,2.92713751,,8.568134004,0.03818251241,1,7.5,1,1,224,5.213568755,0.8789228,4.936734062
2-Methyldecane,25.09,25090,210.94,,0.3502822982,2.854840239,,8.15011279,0.03985651654,1,7,1,1,224.1,4.927420119,0.8834071,4.685772021
n-Undecane,29.04,29040,211.23,,0.3507638658,2.850920797,,8.127749392,0.03443526171,2,8,1,1,247.6,5.425460399,0.8878914,5.136832368
"1,3-Dimethylnaphthalene",15.9,15900,159.09,,0.2641813351,3.785278773,,14.32833539,0.06289308176,1,0,10,1,267,1.892639387,0.8923757,2.096333376
1-Ethylnaphthalene,16.3,16300,156.23,,0.2594320824,3.854573385,,14.85773598,0.06134969325,1,0.5,10,1,259.1,2.177286693,0.89686,2.350282042
Cyclohexylbenzene,15.27,15270,168.69,,0.2801228828,3.569861877,,12.74391382,0.06548788474,1,0,6,6,280.5,1.784930938,0.9013443,1.96102455
Hexylbenzene,18.41,18410,188.48,,0.312985719,3.195033956,,10.20824198,0.05431830527,1,4.5,6,1,212,3.847516978,0.9058286,3.786071738
Bicyclohexyl,16.14,16140,192.48,,0.3196280306,3.128636741,,9.78836786,0.06195786865,1,0,12,1,277,1.564318371,0.9103129,1.704617549
1-Dodecene,24.42,24420,222.07,,0.3687645301,2.711757554,,7.353629031,0.04095004095,1,8.5,1,1,237.9,5.605878777,0.9147972,5.359291545
n-Hexylcyclohexane,22.18,22180,208.33,,0.34594819,2.89060625,,8.355604491,0.04508566276,1,4.5,1,6,263.6,3.695303125,0.9192815,3.6303492
n-Dodecane,36.82,36820,227.42,,0.3776486217,2.647964119,,7.011713977,0.02715915263,2,9,1,1,263.4,5.82398206,0.9237658,5.581860873
n-Heptylcyclohexane,22.22,22220,224.85,,0.3733809366,2.678229931,,7.172915564,0.04500450045,1,5.5,1,6,232.8,4.089114966,0.9282501,3.987884105
n-Tridecane,36.15,36150,243.88,,0.4049817336,2.469247171,,6.09718159,0.02766251729,2,10,1,1,267.8,6.234623585,0.9327344,5.981343282
"1,1-Diphenylethane",17.57,17570,182.27,,0.3026735304,3.303889834,,10.91568803,0.05691519636,1,1,12,1,255.1,2.151944917,0.9372187,2.224265516
Octylbenzene,29.96,29960,222.35,,0.3692294919,2.708342703,,7.335120197,0.03337783712,1,6.5,6,1,237,4.604171351,0.941703,4.493650229
n-Tetradecane,45.07,45070,260.03,,0.4318000664,2.315886628,,5.363330876,0.02218770801,2,11,1,1,278.8,6.657943314,0.9461873,6.42428552
"Benzene,nonyl-",28.87,28870,238.74,,0.3964463633,2.522409316,,6.362548755,0.03463803256,1,7.5,6,1,249,5.011204658,0.9506716,4.888436366
n-Decylcyclopentane,33.13,33130,259.45,,0.4308369313,2.321063789,,5.387337112,0.03018412315,1,2.5,1,5,251,2.410531894,0.9551559,2.406519778
n-Pentadecane,43.77,43770,276.59,,0.4592992361,2.177229835,,4.740329753,0.02284669865,2,12,1,1,282.9,7.088614917,0.9596402,6.890392398
1-Hexadecene,34.08,34080,287.36,,0.4771836599,2.095629176,,4.391661643,0.029342723,1,12.5,1,1,277.5,7.297814588,0.9641245,7.111183585
n-Decylcyclohexane,38.62,38620,274.03,,0.4550481568,2.197569609,,4.829312187,0.02589331952,1,2.5,1,6,271.4,2.348784805,0.9686088,2.344037978
n-Hexadecane,53.35,53350,292.95,,0.4864662903,2.055640894,,4.225659487,0.01874414246,2,13,1,1,291.1,7.527820447,0.9730931,7.380581059
n-Undecylbenzene,36,36000,272.78,,0.4529724344,2.207639856,,4.873673735,0.02777777778,1,9.5,6,1,268,5.853819928,0.9775774,5.772063091
n-Heptadecane,51.13,51130,309.1,,0.513284623,1.948236817,,3.795626693,0.01955798944,2,14,1,1,295.1,7.974118408,0.9820617,7.866024337
Dodecylbenzene,40.17,40170,287.9,,0.478080372,2.091698506,,4.375202642,0.02489419965,1,10,6,1,276,6.045849253,0.986546,5.992650109
n-Dodecylcyclohexane,45.84,45840,308.29,,0.511939555,1.953355607,,3.815598126,0.02181500873,1,10,1,6,285,5.976677803,0.9910303,5.94058981
Tridecylbenzene,43.93,43930,304.29,,0.5052972434,1.979033159,,3.916572245,0.02276348737,1,11.5,6,1,283,6.73951658,0.9955146,6.718163907
Tridecylcyclohexane,51.05,51050,317.27,,0.5268515443,1.898067892,,3.602661722,0.01958863859,1,11.5,1,6,291.5,6.699033946,0.9999989,6.699028665
