Compound,Hm(kJ/mol),Hm (J/mol),,MW,V_m (nm3),1/Vm,(1/Vm)/10,1/(Vm^2),1/Hm,sigma,tau,Eccentricity(Ear),Eccentricity(Eal),T_m (K),,,
Cyclohexane,9.42,9420,108.04,84.16,0.1794088343,5.573861533,,31.06793239,0.1061571125,6,0,1,6,279.8,2.786930766,0.1614348,5.123953922
"2,2-Dimethylbutane",6.26,6260,133.74,86.18,0.2220856858,4.502766562,,20.27490671,0.1597444089,1,1,1,1,174,2.751383281,0.1659191,4.212178624
"2,3-Dimethylbutane",6.43,6430,130.25,86.18,0.216290269,4.623416507,,21.37598019,0.1555209953,4,1,1,1,144.2,2.811708253,0.1704034,4.314695261
2-Methylpentane,6.27,6270,131.98,86.18,0.2191630687,4.562812547,,20.81925834,0.1594896332,1,2,1,1,119.6,3.281406274,0.1748877,4.338710351
3-Methylpentane,5.31,5310,129.79,86.18,0.2155264032,4.639802758,,21.52776964,0.1883239171,2,2,1,1,110.1,3.319901379,0.179372,4.403049408
n-Hexane,13.1,13100,131.61,86.18,0.2185486549,4.575640149,,20.93648277,0.07633587786,2,3,1,1,177.8,3.787820074,0.1838563,4.430794465
Benzene,9.87,9870,88.9,78.11,0.1476253736,6.773903262,,45.8857654,0.1013171226,12,0,6,1,278.7,3.386951631,0.1883406,6.13600276
"1,4-Cyclohexadiene",6.54,6540,94.6,80.1292,0.1570906676,6.365750529,,40.52277979,0.1529051988,4,0,1,6,223.8,3.182875264,0.1928249,5.752012924
"1,3-Cyclohexadiene",4.2,4200,93,80.1292,0.1544337429,6.475268817,,41.92910626,0.2380952381,2,0,1,6,161,3.237634409,0.1973092,5.836453762
4-Methylcyclohex-1-ene,6.63,6630,120.36,96.17,0.1998671538,5.003323363,,25.03324468,0.1508295626,1,0,1,6,153.6,2.501661682,0.2017935,4.498504297
"4,4-Dimethylpent-1-ene",6.28,6280,143.97,98.19,0.2390733975,4.182815864,,17.49594856,0.1592356688,1,1.5,1,1,136.4,2.841407932,0.2062778,3.906113187
"3,3-Dimethylpent-1-ene",7.53,7530,140.88,98.19,0.2339422119,4.274559909,,18.27186242,0.1328021248,1,1.5,1,1,138.7,2.887279955,0.2107621,3.982173873
"trans-4,4-Dimethylpent-2-ene",6.7,6700,142.3,98.19,0.2363002325,4.231904427,,17.90901508,0.1492537313,1,1,1,1,137.6,2.615952214,0.2152464,3.884076531
"cis-4,4-Dimethylpent-2-ene",5.86,5860,140.27,98.19,0.2329292594,4.293148927,,18.43112771,0.1706484642,1,1,1,1,137.6,2.646574464,0.2197307,3.931345968
"2,4-Dimethylpent-1-ene",8.79,8790,141.48,98.19,0.2349385586,4.256432005,,18.11721341,0.1137656428,1,1.5,1,1,149.09,2.878216002,0.224215,3.947415304
"2,4-Dimethylpent-2-ene",6.7,6700,141.28,98.19,0.234606443,4.262457531,,18.1685442,0.1492537313,1,1,1,1,145.3,2.631228766,0.2286993,3.889396654
"2,3-Dimethyl-1-pentene",7.11,7110,139.28,98.19,0.2312852873,4.323664561,,18.69407523,0.1406469761,1,1.5,1,1,138.7,2.91183228,0.2331836,3.994448427
3-Ethyl-1-pentene,5.82,5820,141.08,98.19,0.2342743275,4.268500142,,18.22009346,0.1718213058,1,2.5,1,1,145.5,3.384250071,0.2376679,4.058342284
5-Methyl-1-hexene,9.08,9080,141.89,98.19,0.2356193955,4.244132779,,18.01266305,0.1101321586,1,2.5,1,1,151.39,3.372066389,0.2421522,4.032959984
(dl)4-Methyl-1-hexene,7.5,7500,140.47,98.19,0.233261375,4.287036378,,18.37868091,0.1333333333,1,2.5,1,1,131.5,3.393518189,0.2466365,4.066662179
"cis-3,4-Dimethylpent-2-ene",8.79,8790,138.3,98.19,0.229657921,4.354302242,,18.95994801,0.1137656428,1,1,1,1,159.76,2.677151121,0.2511208,3.93313471
"trans-3,4-Dimethylpent-2-ene",8.79,8790,138.3,98.19,0.229657921,4.354302242,,18.95994801,0.1137656428,1,1,1,1,148.92,2.677151121,0.2556051,3.925613862
2-Methyl-1-hexene,13,13000,139.67,98.19,0.2319329127,4.311591609,,18.5898222,0.07692307692,1,2.5,1,1,170.28,3.405795804,0.2600894,4.076003722
1-Heptene,12.66,12660,140.88,98.19,0.2339422119,4.274559909,,18.27186242,0.07898894155,1,3.5,1,1,153.3,3.887279955,0.2645737,4.172095819
2-Methyl-2-hexene,9.21,9210,138.69,98.19,0.2303055463,4.342057827,,18.85346617,0.108577633,1,2,1,1,142.6,3.171028913,0.269058,4.026983129
trans-3-Heptene,10.5,10500,140.67,98.19,0.2335934905,4.28094121,,18.32645764,0.09523809524,1,3,1,1,136.4,3.640470605,0.2735423,4.105745408
"2,3-dimethylpent-2-ene",8.79,8790,134.88,98.19,0.2239787446,4.464709371,,19.93362977,0.1137656428,1,1,1,1,154.7,2.732354686,0.2780266,3.983068688
cis-3-methyl-2-hexene,11.28,11280,137.71,98.19,0.22867818,4.372957665,,19.12275874,0.08865248227,1,2,1,1,154.5,3.186478832,0.2825109,4.037764462
"1,1-Dimethylcyclopentane",7.58,7580,130.23,98.19,0.2162570575,4.624126545,,21.38254631,0.1319261214,2,0,1,5,203.7,2.312063273,0.2869952,3.960575484
