,InChI Key,SMILES,Molecular Weight,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,LogP,Type of Substance,mp_mean,mp_std
10093,XLNMAGAOGOCJQA-UHFFFAOYSA-N,CCC1=COC2=C1C=C(O)C=C2,162.188,1.0,0.0,1.0,33.37,4.0,2.0,2.3040000000000003,heterocyclic,41.0,
10094,XLTPZHLNEXQBPZ-UHFFFAOYSA-N,OC(=O)C1=C(O)C=C(F)C(O)=C1,172.113,3.0,2.0,1.0,77.76,4.0,2.0,1.415,isocyclic,214.5,
10098,XLYAGQNZNZERGD-NSCUHMNNSA-N,C\C=C\C(=O)OC1=CC=C(O)C=C1,178.188,1.0,1.0,3.0,46.53,4.0,2.0,2.217,isocyclic,111.5,
10099,XLYKQGVKAPFTNM-UHFFFAOYSA-N,CC1=C2OCOC2=C(C)C(O)=C1,166.17700000000005,1.0,0.0,0.0,38.69,4.0,2.0,1.557,heterocyclic,112.0,
10102,XMFOYHLIWBRPMX-UHFFFAOYSA-N,CC1=CC(O)=C(CC(O)=O)C=C1O,182.176,3.0,2.0,2.0,77.76,4.0,2.0,0.863,isocyclic,178.0,0.0
10104,XMJMZKYQWBRCCX-UHFFFAOYSA-N,CN(C)CC1=C(O)C=C2OCOC2=C1,195.218,1.0,1.0,2.0,41.93,4.0,2.0,0.856,heterocyclic,88.0,
10106,XMKXBRLGHXWYGD-KGOITJQVSA-N,[H][C@@]12[C@H]3CCC[C@H](C=C3)[C@]1([H])C(=O)C=CC2=O,202.253,0.0,2.0,0.0,34.14,4.0,2.0,1.663,isocyclic,81.5,
10107,XMKXBRLGHXWYGD-UHFFFAOYSA-N,O=C1C=CC(=O)C2C3CCCC(C=C3)C12,202.253,0.0,2.0,0.0,34.14,4.0,2.0,1.663,isocyclic,78.0,
10109,XMSLZTSUDYCFKH-UHFFFAOYSA-N,COC1=CC2=C(OC(C)=C2C#N)C=C1,187.198,0.0,1.0,1.0,46.16,4.0,2.0,1.857,heterocyclic,78.0,
10110,XMXBNKUTTMGKQH-UHFFFAOYSA-N,OC1=C2C3CCCCC3C2=C(O)C=C1,190.242,2.0,0.0,0.0,40.46,4.0,2.0,2.918,isocyclic,179.0,
10117,XNDWAZKGJAVSAE-UHFFFAOYSA-N,CC1=NOC2=C1C=C1OCOC1=C2,177.15900000000005,0.0,0.0,0.0,44.49,4.0,2.0,1.77,,154.5,
10119,XNGDDFPFJFPWRU-ZETCQYMHSA-N,CC1=C(O)C=C2[C@@H](CO)COC2=C1,180.203,2.0,1.0,1.0,49.69,4.0,2.0,0.764,,90.5,
10120,XNHHFDKEDIVWGW-UHFFFAOYSA-N,O=C1COC2(O1)C=CC(=O)C=C2,166.13299999999995,0.0,4.0,0.0,52.6,4.0,2.0,-0.118,heterocyclic,63.0,
10123,XNQYNBDARWOHSB-ZRUFSTJUSA-N,C\C(C)=C/CC1=C[C@H](O)[C@@H]2O[C@@H]2[C@@H]1O,196.246,2.0,3.0,2.0,52.99,4.0,2.0,0.355,heterocyclic,104.5,
10126,XNWXXFVJHBQQAL-UHFFFAOYSA-N,CC1(C)COC2(CCC(=O)CC2)OO1,200.235,0.0,4.0,0.0,44.76,4.0,2.0,0.932,,71.0,
10132,XOJWCVMGFPHSCX-UHFFFAOYSA-N,C1OC2=CC=C3OCOC3=C2O1,166.13299999999995,0.0,0.0,0.0,36.92,4.0,2.0,1.268,heterocyclic,91.0,
10138,XOUFAZRKXSGOOQ-KBVBSXBZSA-N,[H][C@]12CC=C[C@@H](C=C)[C@@]1([H])C(=O)C=CC2=O,188.226,0.0,2.0,1.0,34.14,4.0,2.0,1.243,isocyclic,59.0,
10145,XPJFAZTVPZCPDL-UHFFFAOYSA-N,COC1=CC=C(OC=C)C2=CC=CC=C12,200.237,0.0,0.0,3.0,18.46,4.0,2.0,3.571,isocyclic,40.0,
10147,XPKVKQPIZRMRLG-UHFFFAOYSA-N,O=C1COC2(OC1)C=CC(=O)C=C2,180.16,0.0,4.0,0.0,52.6,4.0,2.0,-0.6920000000000001,heterocyclic,76.0,
10148,XPKYJNXBXFXSEO-UHFFFAOYSA-N,COC1=CC=C(OCC=C)C(C)=C1C,192.258,0.0,0.0,4.0,18.46,4.0,2.0,2.919,isocyclic,42.5,
10151,XPRGGVYAPJXOQC-UHFFFAOYSA-N,OC1CC(=O)C2=CC=CC=C2C1=O,176.172,1.0,3.0,0.0,54.37,4.0,2.0,0.8909999999999999,isocyclic,122.5,
10156,XPXODXIULRDWNT-UHFFFAOYSA-N,CCOC1=CC(=O)C(=O)C2=CC=CC=C12,202.21,0.0,3.0,2.0,43.37,4.0,2.0,2.103,isocyclic,125.25,1.920286436967152
10158,XPYPGUZLSZTBMM-UHFFFAOYSA-N,O=C1CCC(=O)C2=C1NC=C2,149.149,1.0,3.0,0.0,49.93,4.0,2.0,0.693,heterocyclic,185.0,
10160,XPYXHTWKHKYDRZ-UHFFFAOYSA-N,CCCC1=C2CCOC2=CC=C1O,178.231,1.0,0.0,2.0,29.46,4.0,2.0,2.636,heterocyclic,37.5,
10162,XPZMWTZEBALMMC-UHFFFAOYSA-N,OC1=CC(N2CC2)=C(O)C=C1N1CC1,192.217,2.0,2.0,2.0,46.48,4.0,2.0,1.208,heterocyclic,232.5,
10164,XQBSOMICYVLAMS-UHFFFAOYSA-N,COC1=CC=C(OC)C(=C1)C(N)=S,197.258,1.0,1.0,3.0,76.57,4.0,2.0,1.307,isocyclic,116.5,
10166,XQEDFHVFLGXOBJ-UHFFFAOYSA-N,COC1=CC2=C(OC(=C2)C#N)C(OC)=C1,203.197,0.0,1.0,2.0,55.39,4.0,2.0,1.3630000000000002,heterocyclic,140.0,
10170,XQTLMAPJKANWHJ-BDVNFPICSA-N,CN1[C@@H]2[C@H](OC1=O)C=C[C@H](O)[C@H]2O,185.18,2.0,5.0,0.0,70.0,4.0,2.0,-0.506,heterocyclic,181.5,
10171,XQTLMAPJKANWHJ-DBRKOABJSA-N,CN1[C@@H]2[C@H](OC1=O)C=C[C@@H](O)[C@H]2O,185.18,2.0,5.0,0.0,70.0,4.0,2.0,-0.506,heterocyclic,163.0,
10177,XRCRJFOGPCJKPF-UHFFFAOYSA-N,CCCCC1=C(O)C=CC(O)=C1,166.22,2.0,0.0,3.0,40.46,4.0,2.0,3.0380000000000003,isocyclic,86.25,2.7443123000125187
10182,XRPLZXZFAVBWPI-UHFFFAOYSA-N,COC1=CC2=C(OC(=O)C(C)C2)C=C1,192.21400000000003,0.0,1.0,1.0,35.53,4.0,2.0,1.6909999999999998,heterocyclic,63.5,
10184,XRRDLKBEXORAOI-UHFFFAOYSA-N,Cl[H].COC1=CC2=C(OC=C2)C(N)=C1,199.637,1.0,1.0,1.0,48.39,4.0,2.0,1.675,heterocyclic,211.5,
10185,XRTCOPNYTROHIJ-UHFFFAOYSA-N,OC1=CC=C(O)C(SC#N)=C1,167.188,2.0,1.0,1.0,89.55,4.0,2.0,1.188,,127.0,
10187,XRUHYKRNHQSCLR-UHFFFAOYSA-N,COC1=CC=C(OC2=CN=CN=C2)C=C1,202.213,0.0,2.0,3.0,44.24,4.0,2.0,1.125,,55.0,
10192,XRXYEQMWJLRZIP-BEXUAGJCSA-N,[H][C@]12C[C@]3([H])C(=O)[C@@]1([H])[C@@]1([H])CCC[C@]3([H])[C@@]1([H])O2,178.231,0.0,2.0,0.0,26.3,4.0,2.0,0.736,heterocyclic,163.5,
10197,XSIBNFRLWPYZRA-UHFFFAOYSA-N,COC1=CC2=C(OC3=CC=CC=C23)C=C1,198.221,0.0,0.0,1.0,22.37,4.0,2.0,3.3360000000000003,heterocyclic,46.01666666666667,0.5489889697333531
10201,XSKIOVHTXNSGAJ-UHFFFAOYSA-N,CC1=C(O)C(C)=C(C=C)C(O)=C1C,178.231,2.0,0.0,1.0,40.46,4.0,2.0,2.614,isocyclic,61.0,
10204,XSSLWLNUIOTJAN-UHFFFAOYSA-N,CC(=O)C1(O)C=CC(=O)C(C)=C1C,180.203,1.0,3.0,1.0,54.37,4.0,2.0,-0.422,isocyclic,98.0,
10206,XSWNVDUACVHDRW-UHFFFAOYSA-N,CC1=NC=CN1C1=CC(O)=CC=C1O,190.202,2.0,2.0,1.0,58.28,4.0,2.0,1.256,heterocyclic,248.5,
10208,XSYRJOIWCRQUFK-NKWVEPMBSA-N,CC1=CC(=O)C[C@H](O)[C@@H]1O,142.155,2.0,3.0,0.0,57.53,4.0,2.0,-0.919,,80.5,
10218,XTMCEZUVAWUAJZ-UHFFFAOYSA-N,OC1=CC=C(O)C2=C1N=C1CCCC1=N2,202.213,2.0,2.0,0.0,66.24,4.0,2.0,0.588,heterocyclic,219.0,
10222,XTOKBQLTBGASEX-UHFFFAOYSA-N,NN.OC1=CC=C(O)C=C1,142.158,4.0,2.0,0.0,92.5,3.0,2.0,,isocyclic,158.25,3.473110997362451
10224,XTPLABZANFXAQG-WDSKDSINSA-N,C[C@H]1[C@H](C)C(=O)C=CC1=O,138.166,0.0,2.0,0.0,34.14,4.0,2.0,0.14400000000000002,isocyclic,56.5,
10235,XUFPQPLWVKYMOV-DBNIFQIXSA-N,[H][C@]12OO[C@@H](C)C=C1[C@H]1OO[C@@H]2C=C1,182.176,0.0,4.0,0.0,36.92,4.0,2.0,0.772,heterocyclic,92.0,
10236,XUFPQPLWVKYMOV-VHKYIWFCSA-N,[H][C@]12OO[C@@H](C)C=C1[C@@H]1OO[C@H]2C=C1,182.176,0.0,4.0,0.0,36.92,4.0,2.0,0.772,heterocyclic,104.0,
10239,XUJDRPFZRFFGGV-UHFFFAOYSA-N,COC1=CC(C)=C(OC(C)=O)C(C)=C1,194.23,0.0,1.0,3.0,35.53,4.0,2.0,2.174,isocyclic,43.333333333333336,1.247219128924647
10250,XUURPJMDGOMSCS-UHFFFAOYSA-N,COC1=CC(N)=C(OC)C=C1SC,199.274,1.0,1.0,3.0,69.78,4.0,2.0,1.777,isocyclic,113.5,
10254,XVDMBJDVUBZYGN-UHFFFAOYSA-N,COC1(OC)C=CC(=O)C(F)=C1F,190.147,0.0,3.0,2.0,35.53,4.0,2.0,0.101,,36.0,
10264,XVQSIDWDWWICEU-UWVGGRQHSA-N,O[C@]12CC=CC[C@]1(O)C=CC(=O)C2,180.203,2.0,3.0,0.0,57.53,4.0,2.0,-0.383,,123.5,
10268,XVZJZPXDEIPICB-UHFFFAOYSA-N,COC1=CC(OC)=C(C=C1O)C(C)=O,196.203,1.0,1.0,3.0,55.76,4.0,2.0,1.055,isocyclic,155.0,0.7071067811865476
10271,XWDRGCHMRPYINH-UHFFFAOYSA-N,COC1=C(OC)C(O)=C(OC)C(C)=C1,198.219,1.0,0.0,3.0,47.92,4.0,2.0,1.319,,128.5,
10272,XWEBFJPJDGTKAT-UHFFFAOYSA-N,CC(=O)C1=C(O)C=C(CC=C)C(O)=C1,192.21400000000003,2.0,1.0,3.0,57.53,4.0,2.0,2.5980000000000003,isocyclic,101.0,
10273,XWEYNHANWVYYMU-UHFFFAOYSA-N,CC1=C2CCOC2=C(C)C(C)=C1O,178.231,1.0,0.0,0.0,29.46,4.0,2.0,2.055,heterocyclic,145.5,
10278,XWVGLTXBXQOQIU-UHFFFAOYSA-N,COC1=CC(Cl)=C(O)C(F)=C1C,190.602,1.0,0.0,1.0,29.46,4.0,2.0,2.54,,97.5,
10281,XXHMKBWOPGRHLC-UHFFFAOYSA-N,CC1CC2=C(C(O)=CC=C2O1)N(=O)=O,195.175,1.0,0.0,1.0,75.28,4.0,2.0,2.587,heterocyclic,75.5,
10282,XXHYEUMPNXPMOJ-UHFFFAOYSA-N,CC1=C(C=O)C(O)=CC(O)=C1O,168.149,3.0,1.0,1.0,77.76,4.0,2.0,1.3159999999999998,isocyclic,208.0,
10287,XXZCLMWZCPGCTR-UHFFFAOYSA-N,OC1=CC=C(O)C=C1.NC(=O)CN1CCCC1=O,197.21400000000003,3.0,4.0,2.0,103.86,3.0,2.0,,,129.0,
10292,XYHQAQRXVQZBQV-UHFFFAOYSA-N,CCOC1=CC=C(O)C2=CC=CC=C12,188.226,1.0,0.0,2.0,29.46,4.0,2.0,3.22,isocyclic,98.79375,4.500794200749463
10294,XYICOGYOSVVHFT-UHFFFAOYSA-N,CC(C)C1=CC(=O)C2(C)OC2C1=O,180.203,0.0,3.0,1.0,46.67,4.0,2.0,0.307,heterocyclic,83.0,
10296,XYJAHKATEAXAOA-UHFFFAOYSA-N,COC1=CC=C(OC)C(=C1)C#C,162.188,0.0,0.0,2.0,18.46,4.0,2.0,2.35,isocyclic,43.833333333333336,5.104464277037851
10298,XYKHWDRZDKDRBA-UHFFFAOYSA-N,COC1=C(Cl)C=C(O)C(=C1)C(C)=O,200.622,1.0,1.0,2.0,46.53,4.0,2.0,2.459,isocyclic,130.0,
10300,XYLFZSKCOROBKB-UHFFFAOYSA-N,CC1=CC2=C(O1)C=C1C=C(OC1=C2)C#N,197.193,0.0,1.0,0.0,50.07,4.0,2.0,2.08,heterocyclic,171.0,
10305,XYWORIGMYPEQFI-MCNGFCJOSA-N,[H][C@]12OO[C@@H](C)C=C1[C@H]1OO[C@@H]2C(C)=C1,196.203,0.0,4.0,0.0,36.92,4.0,2.0,0.623,heterocyclic,109.0,
10306,XYWORIGMYPEQFI-NORCUCSASA-N,[H][C@]12OO[C@@H](C)C=C1[C@@H]1OO[C@H]2C(C)=C1,196.203,0.0,4.0,0.0,36.92,4.0,2.0,0.623,heterocyclic,89.0,
10308,XYZHVUBGWKQFHM-BJMVGYQFSA-N,COC1=CC(O)=C(\C=N\O)C=C1OC,197.191,2.0,0.0,3.0,71.28,4.0,2.0,1.117,isocyclic,146.5,
10311,XZELWEMGWISCTP-UHFFFAOYSA-N,COC1=CC=C2OC(=CC2=C1)C(O)=O,192.171,1.0,2.0,2.0,59.67,4.0,2.0,1.608,heterocyclic,214.5,2.041241452319315
10315,XZIMMDINMCPWLO-UHFFFAOYSA-N,COC1=C(C=C(O)C=C1)C1=CC=CC=C1,200.237,1.0,0.0,2.0,29.46,4.0,2.0,3.471,isocyclic,46.0,
10316,XZIUCJFYZXRYNN-UHFFFAOYSA-N,CC1=C(C)C(=O)C2OC2C1=O,152.15,0.0,3.0,0.0,46.67,4.0,2.0,-0.59,heterocyclic,79.0,
10317,XZTOYNFMDYIGSE-UHFFFAOYSA-N,OCCOC1=CC=C(O)C(CC#C)=C1,192.21400000000003,2.0,1.0,4.0,49.69,4.0,2.0,1.135,,87.0,
10320,XZXJHZBKVPHYSE-UHFFFAOYSA-N,CC(=O)OC1=CC(C=O)=C(O)C=C1,180.16,1.0,2.0,3.0,63.6,4.0,2.0,1.526,isocyclic,78.55,1.3266499161421599
10324,YADSZYQUMHIKNV-UHFFFAOYSA-N,O=C1C=CC2(OCCO2)C2=C1C=CC=C2,202.21,0.0,3.0,0.0,35.53,4.0,2.0,1.327,heterocyclic,46.5,
10325,YAFGAFVJHHKKDD-UHFFFAOYSA-N,OC1=CC(O)=C2OC(CCl)CC2=C1,200.622,2.0,0.0,1.0,49.69,4.0,2.0,1.505,heterocyclic,117.5,
10328,YAGWEMHSVCHMEN-WDSKDSINSA-N,C[C@H]1CC(=O)[C@@H](C)CC1=O,140.18200000000002,0.0,2.0,0.0,34.14,4.0,2.0,-0.14400000000000002,isocyclic,86.0,
10331,YAPCNXGBNRDBIW-UHFFFAOYSA-N,COC1=CC=C(OC(C)=O)C=C1,166.17700000000005,0.0,1.0,3.0,35.53,4.0,2.0,1.722,isocyclic,32.31428571428571,1.3436927491363613
10334,YAZSRHINKUPCJO-UHFFFAOYSA-N,COC1=CC(O)=C(C=C1OC)C#N,179.175,1.0,1.0,2.0,62.48,4.0,2.0,0.901,isocyclic,143.5,
10342,YBKCWUWWJGMVKM-MGCOHNPYSA-N,O[C@]1(C=C[C@](O)(C=C1)C#C)C#C,160.172,2.0,2.0,0.0,40.46,4.0,2.0,0.562,isocyclic,196.0,0.0
10346,YBNYEJYBJQNQLU-UHFFFAOYSA-N,CC1=CC(O)=C2C=CNC2=C1O,163.17600000000004,3.0,1.0,0.0,56.25,4.0,2.0,2.018,heterocyclic,158.5,
10347,YBTOJTYXRGYUES-UHFFFAOYSA-N,OC1=CC=C(O)C2=C1C1C3CC2C13,174.199,2.0,0.0,0.0,40.46,4.0,2.0,1.887,isocyclic,168.0,
10351,YCAFCYKVEIHDQJ-UHFFFAOYSA-N,OC1=CC2=C(C=C1)C(O)=CC=C2O,176.172,3.0,0.0,0.0,60.69,4.0,2.0,2.07,isocyclic,139.0,
10352,YCBFXMXSQPGPKW-UHFFFAOYSA-N,COC1=C(OC)C=C2C=COC2=C1,178.188,0.0,0.0,2.0,31.6,4.0,2.0,1.6269999999999998,heterocyclic,55.625,2.072890493972125
10354,YCBIFQTZAQVLTQ-UHFFFAOYSA-N,COC1=CC2=C(OC(N)=N2)C=C1,164.16400000000004,1.0,2.0,1.0,61.28,4.0,2.0,0.797,heterocyclic,165.5,
10355,YCELIWZZTVFHOV-UHFFFAOYSA-N,CC1=CC(C)(O)C(C)=CC1=O,152.19299999999996,1.0,2.0,0.0,37.3,4.0,2.0,0.188,isocyclic,116.25,0.2041241452319315
10358,YCFXTJDWVNEVEX-UHFFFAOYSA-N,Cl[H].COC1=CC=C(OCCN)C=C1,203.669,1.0,1.0,4.0,44.48,4.0,2.0,1.588,isocyclic,225.0,
10359,YCGCRXWRCWEJQF-VDTYLAMSSA-N,O[C@@]12C[C@@H](OC1=O)C(=O)CC2,156.138,1.0,4.0,0.0,63.6,4.0,2.0,-0.701,,144.5,
10362,YCJJJGTWUUFAEE-DOFRTFSJSA-N,[H][C@]12C[C@]3(CO3)C[C@]([H])(CCCC1)C2=O,180.247,0.0,2.0,0.0,29.6,4.0,2.0,1.366,heterocyclic,116.5,
10369,YCOPZPVRLWVTDA-UHFFFAOYSA-N,COC1=CC(N=[C])=C(OC)C=C1Cl,197.621,0.0,1.0,3.0,30.82,4.0,2.0,1.92,isocyclic,147.0,
10383,YDDFVLGMVIJMMI-QXGXAUQUSA-N,COC1=C[C@@H](O)[C@@H]2O[C@@H]2C1=O,156.138,1.0,4.0,1.0,59.06,4.0,2.0,-0.705,heterocyclic,151.0,
10384,YDDFVLGMVIJMMI-TYMKMJBOSA-N,[H][C@]12O[C@@]1([H])C(=O)C(OC)=C[C@@H]2O,156.138,1.0,4.0,1.0,59.06,4.0,2.0,-0.705,heterocyclic,142.5,
10386,YDHLTOQAJUNCML-UHFFFAOYSA-N,CC1=C(OC2=CC(O)=C(O)C=C12)C#N,189.17,2.0,1.0,0.0,77.39,4.0,2.0,1.331,heterocyclic,226.0,
10387,YDIHHJUFULIFNV-UHFFFAOYSA-N,COC1=CC(C(O)=O)=C(O)C(OC)=C1,198.175,2.0,2.0,3.0,75.99,4.0,2.0,1.222,isocyclic,179.5,3.3416562759605704
10396,YEDVNXKGPIJLOY-UHFFFAOYSA-N,CCC(C)(C)C1=CC(=O)C(C)=CC1=O,192.258,0.0,2.0,2.0,34.14,4.0,2.0,2.083,isocyclic,57.0,
10398,YEHRKYSRJPBYCH-UHFFFAOYSA-N,CC1(O)CC(=O)C(=O)CC1=O,156.138,1.0,4.0,0.0,71.44,4.0,2.0,-1.473,isocyclic,179.0,
10400,YEJAVFRXUJOUIC-UHFFFAOYSA-N,CCOC1CC2=C(O1)C=CC(O)=C2C,194.23,1.0,1.0,2.0,38.69,4.0,2.0,2.01,heterocyclic,97.5,
10408,YEVOWJUOKSVCGA-UHFFFAOYSA-N,COC1=CC(=O)C2(CC2C1=O)C(C)=O,194.187,0.0,4.0,2.0,60.44,4.0,2.0,-0.47,isocyclic,159.5,
10409,YEXDJBFRXQMRLX-UHFFFAOYSA-N,O=C1C=CC(=O)C2=COC=C12,148.118,0.0,2.0,0.0,47.28,4.0,2.0,0.529,heterocyclic,179.0,
