,InChI Key,SMILES,Molecular Weight,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,LogP,Type of Substance,mp_mean,mp_std
360,DGGZUYWUXFVANQ-UHFFFAOYSA-N,CNC1=CC(=O)C(C)=CC1=O,151.165,1.0,3.0,1.0,46.17,4.0,2.0,0.353,isocyclic,132.5,
361,DGJQWDOLPJWEGM-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1CCOC2,164.16099999999997,0.0,3.0,0.0,43.37,4.0,2.0,-0.764,heterocyclic,78.5,
363,DGOJFVQOSFCPEC-UHFFFAOYSA-N,OC1=C(F)C(=O)C(F)=C(F)C1=O,178.067,1.0,3.0,0.0,54.37,4.0,2.0,0.468,isocyclic,135.0,
370,DIUSMPZLXXRDMS-UHFFFAOYSA-N,CC1(C)CC2=C(O1)C(=O)C=CC2=O,178.188,0.0,3.0,0.0,43.37,4.0,2.0,0.69,heterocyclic,133.5,
371,DIWBYKBPDGOSMK-UHFFFAOYSA-N,CC(C)(C)SC1=CC(=O)C=CC1=O,196.27,0.0,2.0,2.0,59.44,4.0,2.0,1.519,isocyclic,64.5,
373,DJBMKGZOFWSXEP-UHFFFAOYSA-N,NC1=CC(=O)C(=CC1=O)C1=CC=CC=C1,199.209,1.0,3.0,1.0,60.16,4.0,2.0,1.567,isocyclic,147.5,
376,DKKFAYPAVSLMPV-UHFFFAOYSA-N,COC1=C(C)C(=O)C(O)=C(OC)C1=O,198.175,1.0,5.0,2.0,72.83,4.0,2.0,0.7809999999999999,isocyclic,75.0,
378,DKWZNCMZBIGMRS-UHFFFAOYSA-N,CC1=CC(N)=C2C(=O)C(C)=CC(=O)C2=C1,201.225,1.0,3.0,0.0,60.16,4.0,2.0,1.241,isocyclic,172.0,
379,DLLWFRXEVDMPEX-UHFFFAOYSA-N,CC1=C(C)C(=O)C2=C(CCCC2)C1=O,190.242,0.0,2.0,0.0,34.14,4.0,2.0,1.084,isocyclic,121.0,
380,DLWZJERTTUEVPD-UHFFFAOYSA-N,CC1=CC=C2C(=O)C=C(C)C(=O)C2=C1O,202.21,1.0,2.0,0.0,54.37,4.0,2.0,1.4409999999999998,isocyclic,121.5,
383,DMMLLDCSPYTCAG-UHFFFAOYSA-N,COC1=CC(=O)C(OC)=C(O)C1=O,184.149,1.0,5.0,2.0,72.83,4.0,2.0,0.6,isocyclic,208.66666666666666,1.699673171197595
385,DMWNLKBIEJLXQJ-UHFFFAOYSA-N,CC1=CC2=C(N=C1)C(=O)C(C)=CC2=O,187.198,0.0,3.0,0.0,47.03,4.0,2.0,0.684,,179.0,0.0
388,DNHCPEFCQYRQQN-UHFFFAOYSA-N,NC1=C(N)C(=O)C(N)=C(N)C1=O,168.155,4.0,6.0,0.0,138.22,4.0,2.0,-0.48,isocyclic,260.0,
390,DNQLVCZXYPFUHF-UHFFFAOYSA-N,COC1=CC(=O)C2=C(OC(C)=C2)C1=O,192.171,0.0,3.0,1.0,56.51,4.0,2.0,0.8440000000000001,heterocyclic,254.0,
391,DNWNACLIAHEGFB-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1SC1=CC=CC=C21,214.24400000000003,0.0,2.0,0.0,62.38,4.0,2.0,1.991,,183.0,
392,DNXUGBMARDFRGG-UHFFFAOYSA-N,O=C1C=CC(=O)C(C#N)=C1C#N,158.116,0.0,4.0,0.0,81.72,4.0,2.0,-0.946,isocyclic,179.0625,2.2560682059725057
394,DOBBPNIMACMIRW-UHFFFAOYSA-N,CC(=C)C1=CC(=O)C(C)=CC1=O,162.188,0.0,2.0,1.0,34.14,4.0,2.0,0.989,isocyclic,55.0,
399,DOVXOBBHHJNXJH-UHFFFAOYSA-N,CC1=CC2=C(C=C1)C(=O)C=C(O)C2=O,188.183,1.0,3.0,0.0,54.37,4.0,2.0,2.225,isocyclic,205.5,0.7071067811865476
401,DPECNDIIHHIRNE-UHFFFAOYSA-N,CCOC1=CC(=O)C(C)=C(C)C1=O,180.203,0.0,3.0,2.0,43.37,4.0,2.0,0.797,,107.0,
406,DRBVZLXMVSIAGZ-UHFFFAOYSA-N,CC(C)(C(O)=O)C1=CC(=O)C=CC1=O,194.187,1.0,4.0,2.0,71.44,4.0,2.0,0.078,isocyclic,180.5,
407,DRGWVHQFIOTRTB-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1N=C1CCCN21,188.186,0.0,4.0,0.0,51.96,4.0,2.0,0.289,heterocyclic,144.75,
408,DRYVZACATJETML-UHFFFAOYSA-N,COC1=CC(=O)C(=CC1=O)N1CC1,179.175,0.0,4.0,2.0,46.38,4.0,2.0,0.336,heterocyclic,186.0,
412,DSMDXUZAZSGSCJ-UHFFFAOYSA-N,COC1=C(C)C(=O)C2=C(C=NC=N2)C1=O,204.185,0.0,5.0,1.0,69.15,4.0,2.0,-0.343,heterocyclic,112.5,
413,DSTYPFXYSWZXMM-UHFFFAOYSA-N,COCCOC1=CC(=O)C=CC1=O,182.176,0.0,4.0,4.0,52.6,4.0,2.0,-0.17800000000000002,isocyclic,65.5,
415,DSWWFWMDEQVAQG-UHFFFAOYSA-N,COCC1=CC(=O)C(OC)=CC1=O,182.176,0.0,4.0,3.0,52.6,4.0,2.0,-0.325,isocyclic,123.5,
416,DTLHPAPDLMPQHW-UHFFFAOYSA-N,COC1=CC(=O)C2=C(C=CS2)C1=O,194.211,0.0,3.0,1.0,71.61,4.0,2.0,0.893,heterocyclic,205.5,
417,DTZPATXCQCBOFY-UHFFFAOYSA-N,CC1=CC2=C(C=C1C)C(=O)C(C)=C(C)C2=O,214.264,0.0,2.0,0.0,34.14,4.0,2.0,2.676,isocyclic,169.89285714285714,2.734884245582378
419,DUPFZQAWEBTNJO-UHFFFAOYSA-N,CC1=C(N=N#N)C(=O)C2=C(C=CC=C2)C1=O,213.195,0.0,5.0,1.0,83.89,4.0,2.0,1.3969999999999998,isocyclic,81.75,
420,DUPLFIFGNDSGBB-UHFFFAOYSA-N,CC1=CC(=O)C(O)=C(O)C1=O,154.122,2.0,4.0,0.0,74.6,4.0,2.0,1.078,isocyclic,158.0,
424,DVRJRAGXAMPTDN-UHFFFAOYSA-N,CC1=CC(=O)C(CC(C)(C)C)=C(C)C1=O,206.285,0.0,2.0,2.0,34.14,4.0,2.0,2.462,,55.0,
425,DVUMANLSLXXRTC-UHFFFAOYSA-L,[Ca++].[O-]C1=CC(=O)C([O-])=CC1=O,178.157,0.0,4.0,0.0,80.26,4.0,2.0,0.468,isocyclic,275.0,
428,DWOTVFRUZKCMJB-UHFFFAOYSA-N,CC1=CNC2=C1C(=O)C1=C(C=CC=C1)C2=O,211.22,1.0,3.0,0.0,49.93,4.0,2.0,2.756,heterocyclic,249.5,
431,DWXLNXHEUIUNRF-UHFFFAOYSA-N,O=C1C=CC(=O)C2=CC3=C(CCCC3)C=C12,212.248,0.0,2.0,0.0,34.14,4.0,2.0,2.902,isocyclic,138.5,
435,DYZIQPJMKALEJF-UHFFFAOYSA-N,O=C1C=C(N2CC2)C(=O)C2=C1C=CN=C2,200.197,0.0,4.0,1.0,50.04,4.0,2.0,0.512,heterocyclic,144.0,
436,DZAMKMAUYYOZOW-UHFFFAOYSA-N,CC(=O)C1=CC=C(C)C2=C1C(=O)C=CC2=O,214.221,0.0,3.0,1.0,51.21,4.0,2.0,1.754,isocyclic,143.0,
437,DZDVZPYDUDHFDX-UHFFFAOYSA-N,CCOC1=C(F)C(=O)C(F)=C(F)C1=O,206.121,0.0,3.0,2.0,43.37,4.0,2.0,0.7829999999999999,isocyclic,123.75,
438,DZFRMRVCGZBKDJ-UHFFFAOYSA-N,CN1N=CC2=C1C(=O)C(Cl)=C(N)C2=O,211.608,1.0,5.0,0.0,77.98,4.0,2.0,0.77,heterocyclic,285.5,
439,DZIARLVMDHKVDF-UHFFFAOYSA-N,O=CC1=CC2=C(C=C1)C(=O)C=CC2=O,186.167,0.0,3.0,1.0,51.21,4.0,2.0,1.136,isocyclic,153.0,
443,DZJIGBZEUYYVSS-UHFFFAOYSA-N,CN(C)C1=CC(=O)C(=CC1=O)C(C)(C)C,207.272,0.0,3.0,2.0,37.38,4.0,2.0,1.867,isocyclic,83.5,
445,DZNVSQPEELWIFL-UHFFFAOYSA-N,CCN1C=NC2=C1C(=O)C=CC2=O,176.175,0.0,4.0,1.0,51.96,4.0,2.0,0.498,,141.5,
446,DZOUYZGBMGLXFE-UHFFFAOYSA-N,CC1=CC=NC2=C1C(=O)C=CC2=O,173.171,0.0,3.0,0.0,47.03,4.0,2.0,0.7140000000000001,heterocyclic,118.5,
447,DZQOSTNEGZYZMZ-UHFFFAOYSA-N,CC1=CC=C(O1)C1=C(C#N)C(=O)C=CC1=O,213.192,0.0,3.0,1.0,71.07,4.0,2.0,0.207,heterocyclic,131.0,
448,DZRGKIFPZKOREN-UHFFFAOYSA-N,CC(O)CC1=CC(=O)C=CC1=O,166.17700000000005,1.0,3.0,2.0,54.37,4.0,2.0,-0.466,isocyclic,53.5,
453,FASROPZASNUFPR-UHFFFAOYSA-N,O=CC1=CC=C(C=C1)C1=CC(=O)C=CC1=O,212.205,0.0,3.0,2.0,51.21,4.0,2.0,1.3259999999999998,isocyclic,155.0,
454,FAXUEKLHMRNRTI-UHFFFAOYSA-N,COC1=CC=CC2=C(O1)C(=O)C=CC2=O,204.182,0.0,4.0,1.0,52.6,4.0,2.0,0.737,heterocyclic,102.25,
457,FBUNUDUGAMKVJC-UHFFFAOYSA-N,CC1=CC(=O)C=C(CO)C1=O,152.15,1.0,3.0,1.0,54.37,4.0,2.0,-0.474,isocyclic,77.0,
461,FCRLGUOMZAPFQQ-UHFFFAOYSA-N,COC1=CC(=O)C(Cl)=C(C(C)=O)C1=O,214.605,0.0,4.0,2.0,60.44,4.0,2.0,0.384,isocyclic,132.0,
462,FDDNDGIQZPVJEP-UHFFFAOYSA-N,COC1=CC(=O)C2=C(C=CN=C2)C1=O,189.17,0.0,4.0,1.0,56.26,4.0,2.0,0.428,heterocyclic,181.5,
465,FEDGLKBTJYOVNL-UHFFFAOYSA-N,O=C1NC2=C(C=C1C#N)C(=O)C=CC2=O,200.153,1.0,5.0,0.0,87.03,4.0,2.0,-0.6940000000000001,heterocyclic,154.0,
467,FEPARQDCUQBMNG-UHFFFAOYSA-N,CC1=CC(=O)C(Cl)=C(C)C1=O,170.595,0.0,2.0,0.0,34.14,4.0,2.0,0.711,isocyclic,56.25,
468,FESLJYINJLGYAV-UHFFFAOYSA-N,CCOC1=C(C)C(=O)C(C)=CC1=O,180.203,0.0,3.0,2.0,43.37,4.0,2.0,0.797,isocyclic,41.5,
470,FFBFXQQAYACOCE-UHFFFAOYSA-N,OC1=CC(=O)C2=C(C=CO2)C1=O,164.11700000000005,1.0,3.0,0.0,67.51,4.0,2.0,0.716,heterocyclic,165.0,
473,FFOCLEOIKGZQLO-UHFFFAOYSA-N,CC1CCC2=C1C(=O)C(C)=C(C)C2=O,190.242,0.0,2.0,0.0,34.14,4.0,2.0,1.019,isocyclic,35.75,
481,FHDOCBIJQATXKL-UHFFFAOYSA-N,CC(C)(C=O)C1=CC(=O)C=CC1=O,178.188,0.0,3.0,2.0,51.21,4.0,2.0,0.4920000000000001,isocyclic,52.25,
483,FHKVVDYNCAEJKD-UHFFFAOYSA-L,[Mg++].[O-]C1=C2C(=O)C=CC(=O)C2=C([O-])C=C1,212.444,0.0,2.0,0.0,80.26,4.0,2.0,0.628,isocyclic,320.0,
485,FIAXOEDOQLZQMW-UHFFFAOYSA-N,CNC1=CC(=O)C2=C(C=NS2)C1=O,194.21400000000003,1.0,4.0,1.0,87.3,4.0,2.0,0.594,,234.0,
486,FIGWNRLKJUUMTF-UHFFFAOYSA-N,OC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,208.601,1.0,3.0,0.0,54.37,4.0,2.0,2.365,isocyclic,217.22352941176473,3.2663218046432414
489,FISSMEGPYDTNBS-UHFFFAOYSA-N,OC1=CC2=C(C(O)=C1)C(=O)C(O)=CC2=O,206.155,3.0,3.0,0.0,94.83,4.0,2.0,0.976,isocyclic,234.0,
490,FIUVKMNWHBSOAR-UHFFFAOYSA-N,CCOC1=C(OCC)C(=O)C=CC1=O,196.203,0.0,4.0,4.0,52.6,4.0,2.0,1.098,isocyclic,34.5,
494,FKUNMPJXZJECMF-UHFFFAOYSA-N,CCCCCC(=O)C1=CC(=O)C=CC1=O,206.241,0.0,3.0,5.0,51.21,4.0,2.0,1.527,isocyclic,51.25,
497,FLYPRNCFASAODM-UHFFFAOYSA-N,COC1=C(OC)C(=O)C(CO)=CC1=O,198.175,1.0,5.0,3.0,72.83,4.0,2.0,-0.175,isocyclic,69.4,4.509988913511873
499,FMAJEZFADLOKFJ-UHFFFAOYSA-N,CC1=CC(=O)C2=C(C)C=CC=C2C1=O,186.21,0.0,2.0,0.0,34.14,4.0,2.0,2.0580000000000003,isocyclic,94.0,0.5773502691896257
501,FMFFSGLAKNDMSX-UHFFFAOYSA-N,CC(C)(C)CC1=CC(=O)C(O)=CC1=O,194.23,1.0,3.0,2.0,54.37,4.0,2.0,2.448,isocyclic,56.5,
504,FNAIOOGHXYZWCB-UHFFFAOYSA-N,OC1=CC=C2C(=O)C=CC(=O)C2=C1,174.15599999999995,1.0,2.0,0.0,54.37,4.0,2.0,1.034,isocyclic,170.08333333333334,0.1863389981249825
508,FNPUNHOLKYZFJA-UHFFFAOYSA-N,CC1=C(C)C(=O)C2=C(NN=C2)C1=O,176.175,1.0,4.0,0.0,62.82,4.0,2.0,1.242,heterocyclic,160.0,
509,FOPVZNKCVPHCMY-UHFFFAOYSA-N,CC1=NC=CC2=C1C(=O)C=CC2=O,173.171,0.0,3.0,0.0,47.03,4.0,2.0,0.503,heterocyclic,160.0,
512,FPNBTZLQYJXISJ-UHFFFAOYSA-N,CCCCCCC1=CC(=O)C=CC1=O,192.258,0.0,2.0,5.0,34.14,4.0,2.0,2.693,isocyclic,48.5,
513,FPOUKNSIMDBVGY-UHFFFAOYSA-N,COC1=CC(=O)C(CCC(C)C)=CC1=O,208.257,0.0,3.0,4.0,43.37,4.0,2.0,2.303,isocyclic,107.5,
515,FPRGREDMDOLHRN-UHFFFAOYSA-N,CC1=CC2=C(C=C1)C(=O)C1=C(C=CO1)C2=O,212.205,0.0,2.0,0.0,47.28,4.0,2.0,2.4730000000000003,,175.0,
516,FPSIGQVXMAGDIY-UHFFFAOYSA-N,CC1=C(Cl)C(=O)C(Cl)=C(C)C1=O,205.04,0.0,2.0,0.0,34.14,4.0,2.0,1.288,isocyclic,177.16666666666666,0.8498365855987975
519,FRASJONUBLZVQX-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1C=CC=C2,158.156,0.0,2.0,0.0,34.14,4.0,2.0,1.44,isocyclic,124.52600000000001,2.8495480343380772
523,FRMGBSVTFVKTRL-UHFFFAOYSA-N,CC(C)(C)CC1=CC(=O)C=C(O)C1=O,194.23,1.0,3.0,2.0,54.37,4.0,2.0,2.448,isocyclic,84.75,
524,FRMIJYCYOWEIEB-UHFFFAOYSA-N,CC1=CC2=C(N1)C(=O)C=C(N)C2=O,176.175,2.0,4.0,0.0,75.95,4.0,2.0,1.08,,198.0,
525,FRNSMOMNPNFPDK-UHFFFAOYSA-N,CC1=CC=C(C)C2=C1C(=O)C(C)=C(C)C2=O,214.264,0.0,2.0,0.0,34.14,4.0,2.0,2.676,isocyclic,122.5,
526,FROBYOQDKGRURM-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1N=C1CCCCN21,202.213,0.0,4.0,0.0,51.96,4.0,2.0,1.52,,154.0,
527,FSGMYCGZHFHEFI-UHFFFAOYSA-N,ClCC1=CC(=O)C=CC1=O,156.569,0.0,2.0,1.0,34.14,4.0,2.0,0.19,isocyclic,44.0,
536,FUHJILFPCUXBFQ-UHFFFAOYSA-N,CC1=NC2=C(S1)C(=O)C=C(C)C2=O,193.226,0.0,3.0,0.0,75.27,4.0,2.0,-0.022,heterocyclic,138.5,
539,FVPLLKMLUWLWNV-UHFFFAOYSA-N,CC1=C(C)C(=O)C2=C(CC(C)(C)O2)C1=O,206.241,0.0,3.0,0.0,43.37,4.0,2.0,1.052,heterocyclic,119.0,
540,FWGZAEOAFICSQV-UHFFFAOYSA-N,CC1=CC(=O)C(=CC1=O)C(F)(F)F,190.122,0.0,2.0,1.0,34.14,4.0,2.0,0.833,isocyclic,37.0,
542,FXHXJNRZDWVCEF-UHFFFAOYSA-N,CC1=CC(=O)C2=CC=CC(C)=C2C1=O,186.21,0.0,2.0,0.0,34.14,4.0,2.0,2.0580000000000003,isocyclic,134.05,1.676305461424021
544,FYDSMFJFMCIARV-UHFFFAOYSA-N,CC1=CC2=C(C(O)=C1)C(=O)C(C)=CC2=O,202.21,1.0,2.0,0.0,54.37,4.0,2.0,1.652,isocyclic,190.0,
553,FZJTXBJUZXAGPD-GORDUTHDSA-N,COC(=O)\C=C\C1=CC(=O)C=CC1=O,192.171,0.0,4.0,3.0,60.44,4.0,2.0,-0.102,isocyclic,105.0,
554,FZSPCZIJUISCMY-UHFFFAOYSA-N,CC1=C(O)C(=O)C2=C(CC=CC2)C1=O,190.199,1.0,3.0,0.0,54.37,4.0,2.0,1.113,isocyclic,164.0,
557,GATGZQSBJAZYRT-UHFFFAOYSA-N,COC1=CC(=O)C2=C(C=CC=C2O)C1=O,204.182,1.0,3.0,1.0,63.6,4.0,2.0,1.274,isocyclic,163.66666666666666,3.0912061651652345
563,GBUWFMBSAFSANP-UHFFFAOYSA-N,CC1=C(C)C(=O)C2=C(CCCC2=O)C1=O,204.225,0.0,3.0,0.0,51.21,4.0,2.0,-0.08199999999999999,isocyclic,93.5,
564,GBVVYEWPUZNFEK-UHFFFAOYSA-N,FCC1=CC(=O)C(CF)=CC1=O,172.13099999999997,0.0,2.0,2.0,34.14,4.0,2.0,0.334,isocyclic,123.5,
567,GDCQVRBAMXJYJC-UHFFFAOYSA-N,CCC1=NC2=C(O1)C(=O)C=CC2=O,177.15900000000005,0.0,3.0,1.0,60.17,4.0,2.0,0.15,heterocyclic,99.0,
568,GDIHVLJKUGIICG-UHFFFAOYSA-N,CC1=C(CC#N)C(=O)C2=CC=CC=C2C1=O,211.22,0.0,3.0,1.0,57.93,4.0,2.0,1.114,isocyclic,160.0,
570,GDUFLCCHLCZVCJ-UHFFFAOYSA-N,O=C1C2=C(C=CS2)C(=O)C2=CC=CC=C12,214.24400000000003,0.0,2.0,0.0,62.38,4.0,2.0,2.321,heterocyclic,228.71428571428572,1.3324827218698307
577,GELQQGMYSDRBHC-UHFFFAOYSA-N,CC1=CC(=O)C(Br)=CC1=O,201.019,0.0,2.0,0.0,34.14,4.0,2.0,0.706,isocyclic,102.475,4.709631089586529
579,GFAZBXKENDSJEB-UHFFFAOYSA-N,COC1=C(O)C(=O)C(C)=C(O)C1=O,184.149,2.0,5.0,1.0,83.83,4.0,2.0,0.889,isocyclic,201.0,1.181453906563152
586,GGNYOQIPPACJQD-UHFFFAOYSA-N,COC1=CC(=O)C2=C(C)C=CC=C2C1=O,202.21,0.0,3.0,1.0,43.37,4.0,2.0,2.117,isocyclic,140.5,
587,GHHPULWJEUYNCX-UHFFFAOYSA-N,CC(O)CC1=C(C)C(=O)C(C)=C(C)C1=O,208.257,1.0,3.0,2.0,54.37,4.0,2.0,0.077,isocyclic,54.5,3.409545424246464
589,GHLUWAJFYKILGZ-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1N=CC=N2,160.132,0.0,4.0,0.0,59.92,4.0,2.0,-0.8859999999999999,heterocyclic,173.15,0.8616843969807061
592,GHTDOUROEYQMGR-UHFFFAOYSA-N,COCCOCC1=CC(=O)C=CC1=O,196.203,0.0,4.0,5.0,52.6,4.0,2.0,-0.755,isocyclic,25.0,
595,GJIDHZJUEDYMIR-UHFFFAOYSA-N,CC(C)C1=C(N)C(=O)C(C)=C(N)C1=O,194.233,2.0,4.0,1.0,86.18,4.0,2.0,0.976,isocyclic,215.0,
596,GJJKARQHSXJKNX-UHFFFAOYSA-N,C=CCOC1=CC(=O)C2=CC=CC=C2C1=O,214.221,0.0,3.0,3.0,43.37,4.0,2.0,2.295,isocyclic,99.75,1.8200274723201295
598,GJLFRAOUTIXEIN-UHFFFAOYSA-N,OC1=C2C(=O)C=CC(=O)C2=C(Cl)C=C1,208.601,1.0,2.0,0.0,54.37,4.0,2.0,1.656,isocyclic,198.0,2.715695122800054
601,GJZQSBSOOHZUNS-ONEGZZNKSA-N,C\C=C\C1CC2=C(N1)C(=O)C=C(C)C2=O,203.241,1.0,3.0,1.0,46.17,4.0,2.0,1.396,heterocyclic,86.5,
606,GLMOVODLSXQWLI-UHFFFAOYSA-N,CC1=C(Cl)C(=O)C2=C(C=CS2)C1=O,212.656,0.0,2.0,0.0,62.38,4.0,2.0,1.411,heterocyclic,148.75,
607,GLPCZJQUXNWFPK-UHFFFAOYSA-N,CC(C)(CC(O)=O)C1=CC(=O)C=CC1=O,208.21400000000003,1.0,4.0,3.0,71.44,4.0,2.0,0.239,isocyclic,134.5,
608,GLRGXHHHYNUBEN-UHFFFAOYSA-N,CC(C)C(=O)NC1=CC(=O)C=CC1=O,193.202,1.0,4.0,3.0,63.24,4.0,2.0,0.326,isocyclic,114.0,
610,GMLRXIWZJHOUID-UHFFFAOYSA-N,CCCC1=CC(=O)C(OC)=CC1=O,180.203,0.0,3.0,3.0,43.37,4.0,2.0,1.226,isocyclic,110.75,0.25
614,GNBZSYCVGHQSMC-UHFFFAOYSA-N,CC1=C(Cl)C(=O)C(Cl)=CC1=O,191.014,0.0,2.0,0.0,34.14,4.0,2.0,1.107,isocyclic,103.4,0.42426406871192784
616,GNVBJGANONHMNN-UHFFFAOYSA-N,CC1=C(C)C(=O)C2=C(C=NN2C=C)C1=O,202.213,0.0,4.0,1.0,51.96,4.0,2.0,1.071,heterocyclic,147.0,
622,GOZMLRNNKDCONO-UHFFFAOYSA-N,OCCN(CCO)C1=CC(=O)C=CC1=O,211.218,2.0,5.0,5.0,77.84,4.0,2.0,-1.112,isocyclic,163.16666666666666,0.6561673228343176
628,GPLIMIJPIZGPIF-UHFFFAOYSA-N,OC1=CC(=O)C=CC1=O,124.096,1.0,3.0,0.0,54.37,4.0,2.0,0.12,isocyclic,135.0,
629,GPNDIMCMPOSETB-UHFFFAOYSA-N,O=C1C=C(N=N#N)C(=O)C2=C1N=CC=C2,200.156,0.0,6.0,1.0,96.78,4.0,2.0,0.053,heterocyclic,115.0,
631,GPUFYPHJGNDMAG-UHFFFAOYSA-N,CC1=C(C)C(=O)C(=CC1=O)C1OC1(C)C,206.241,0.0,3.0,1.0,46.67,4.0,2.0,0.5670000000000001,heterocyclic,56.5,
633,GQCLAEFIHBRVKO-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1OCCCO2,180.16,0.0,4.0,0.0,52.6,4.0,2.0,0.4,heterocyclic,141.0,
635,GQYVIPXIFBZVLD-UHFFFAOYSA-N,CC1=NNC2=C1C(=O)C(O)=C(C)C2=O,192.174,2.0,5.0,0.0,83.05,4.0,2.0,1.59,heterocyclic,300.0,
636,GRAOTEUDRAKTSH-UHFFFAOYSA-N,CC1=C(Cl)C(=O)C(O)=C(Cl)C1=O,207.013,1.0,3.0,0.0,54.37,4.0,2.0,1.455,isocyclic,157.125,0.21650635094610965
638,GRLLNIGZVAQKMX-UHFFFAOYSA-N,OCCC1=CC(=O)C(CCO)=CC1=O,196.203,2.0,4.0,4.0,74.6,4.0,2.0,-1.624,isocyclic,77.0,
639,GRQWRWZDPRMDGP-UHFFFAOYSA-N,CNC1=CC(=O)C(NC)=C(C)C1=O,180.206,2.0,4.0,2.0,58.2,4.0,2.0,0.753,isocyclic,232.875,1.4306903927824497
642,GRWKZONZBCOJFQ-JEAXJGTLSA-N,ClC1C[C@H]2C[C@@H]1C1=C2C(=O)C=CC1=O,208.644,0.0,2.0,0.0,34.14,4.0,2.0,0.469,isocyclic,83.5,
645,GTBVCZDSESPSAA-UHFFFAOYSA-N,CCC(C)(C)C1=CC(=O)C=CC1=O,178.231,0.0,2.0,2.0,34.14,4.0,2.0,1.902,isocyclic,37.0,
646,GTKYZLNVYCRPLB-UHFFFAOYSA-N,CC1=NC2=C(C(=O)N1)C(=O)C=CC2=O,190.158,1.0,5.0,0.0,75.6,4.0,2.0,-1.074,heterocyclic,166.5,
650,GUYQLAGKFPEYCK-ONGXEEELSA-N,O[C@H]1CCCC[C@H]1C1=CC(=O)C=CC1=O,206.241,1.0,3.0,1.0,54.37,4.0,2.0,0.414,isocyclic,112.5,
653,GVDSTEYEJOZLDH-FIPCFZRWSA-N,[H][C@@]12[C@@H]3C[C@@H](C=C3)[C@]1([H])C1=C2C(=O)C=CC1=O,198.221,0.0,2.0,0.0,34.14,4.0,2.0,0.973,isocyclic,112.0,
654,GVEDLPFHSPYULZ-UHFFFAOYSA-N,C[Si](C)(C)C1=CC(=O)C(Cl)=CC1=O,214.724,0.0,2.0,1.0,34.14,4.0,2.0,1.847,isocyclic,98.0,
656,GVSUPPDTJUBHFG-UHFFFAOYSA-N,CC1=NC2=C(C=C1)C(=O)C(C)=CC2=O,187.198,0.0,3.0,0.0,47.03,4.0,2.0,0.773,heterocyclic,150.0,
659,GWLRIHHVWSMUNY-UHFFFAOYSA-N,CC1=C(Cl)C(=O)C=C(O)C1=O,172.56799999999996,1.0,3.0,0.0,54.37,4.0,2.0,0.878,isocyclic,165.5,
661,GXOPMCTUQAYVKH-UHFFFAOYSA-N,OC1=CC=C2OC3=C(C2=C1)C(=O)C=CC3=O,214.177,1.0,2.0,0.0,67.51,4.0,2.0,1.318,heterocyclic,209.0,
662,GXTKQODIDLFLCP-UHFFFAOYSA-N,CC1=CC=C2C(=O)C(C)=CC(=O)C2=C1N,201.225,1.0,3.0,0.0,60.16,4.0,2.0,1.03,isocyclic,185.0,
663,GYCSAAXPULPHOR-UHFFFAOYSA-N,CC1=CC2=C(NC1=O)C(=O)C=CC2=O,189.17,1.0,4.0,0.0,63.24,4.0,2.0,-0.154,heterocyclic,212.0,
665,GYHROSPTVBMUIQ-UHFFFAOYSA-N,CC1=C(O)C(=O)C=C(N2CCCC2)C1=O,207.229,1.0,4.0,1.0,57.61,4.0,2.0,1.461,heterocyclic,196.5,
666,GYIMVDDZDFCLCN-UHFFFAOYSA-N,CC1=C(C)C(=O)C(=C(C)C1=O)N(=O)=O,195.175,0.0,2.0,1.0,79.96,4.0,2.0,0.532,isocyclic,113.16666666666667,0.23570226039551584
669,GYSIOVKKWFHUGF-UHFFFAOYSA-N,CC(C)SC1=CC(=O)C=CC1=O,182.243,0.0,2.0,2.0,59.44,4.0,2.0,1.124,isocyclic,75.0,
671,GYZANJIAVAJRPU-UHFFFAOYSA-N,OC1=CC(=O)C2=C(CC=CC2)C1=O,176.172,1.0,3.0,0.0,54.37,4.0,2.0,0.932,isocyclic,162.5,
672,GZFPXLHKRIYXIK-UHFFFAOYSA-N,COC1=CC(=O)C=C(NC(C)=O)C1=O,195.175,1.0,5.0,3.0,72.47,4.0,2.0,0.02,isocyclic,216.5,
678,GZZJNPLZLASAIN-UHFFFAOYSA-N,O=C1C=CC(=O)C(=C1)N1C=CC=N1,174.15900000000005,0.0,4.0,1.0,51.96,4.0,2.0,0.238,heterocyclic,80.0,
679,HABHDFMCOYESFF-UHFFFAOYSA-N,COC1=CC(=O)C2=C(SC=N2)C1=O,195.199,0.0,4.0,1.0,84.5,4.0,2.0,0.18600000000000005,heterocyclic,243.5,
680,HAWFOOVBSIDOBI-UHFFFAOYSA-N,CC1=CC(=O)C(NC2=NC=CC=N2)=CC1=O,215.211,1.0,5.0,2.0,71.95,4.0,2.0,0.354,,173.0,
