,InChI Key,SMILES,Molecular Weight,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,LogP,Type of Substance,mp_mean,mp_std
71,AQFPRYYHWGSFMG-UHFFFAOYSA-N,COC1=C(C)C(=O)C(C)=CC1=O,166.17700000000005,0.0,3.0,1.0,43.37,4.0,2.0,0.374,isocyclic,58.166666666666664,1.9293061504650375
74,AQZMINLSVARCSL-UHFFFAOYSA-N,ClC1=CC(=O)C(C#N)=C(C#N)C1=O,192.561,0.0,4.0,0.0,81.72,4.0,2.0,-0.369,isocyclic,153.66666666666666,1.178511301977579
78,ARKURKQNILSDPM-UHFFFAOYSA-N,C=CCC1=CC(=O)C2=C(CCCC2)C1=O,202.253,0.0,2.0,2.0,34.14,4.0,2.0,1.759,,61.0,
81,ASHWETAABNNORQ-UHFFFAOYSA-N,CCCCCC1=CC(=O)C=CC1=O,178.231,0.0,2.0,4.0,34.14,4.0,2.0,2.124,isocyclic,22.0,
83,ASWGNVFZVHOQFJ-UHFFFAOYSA-N,COC(=O)C1=CC(=O)C(C)=CC1=O,180.16,0.0,4.0,2.0,60.44,4.0,2.0,-0.193,isocyclic,38.9,
86,AUONGOLCSJUEQR-UHFFFAOYSA-N,FC1=C(F)C(=O)C(Cl)=C(F)C1=O,196.513,0.0,2.0,0.0,34.14,4.0,2.0,0.6970000000000001,isocyclic,184.9375,0.409839907768875
90,AUUYXGCPTJIPEE-UHFFFAOYSA-N,CCC1=CC(=O)C(Cl)=CC1=O,170.595,0.0,2.0,1.0,34.14,4.0,2.0,0.994,isocyclic,65.5,
92,AVWHYQVCCIPEKR-UHFFFAOYSA-N,O=C1C=CC(=O)C(CC2CCCC2)=C1,190.242,0.0,2.0,2.0,34.14,4.0,2.0,2.292,isocyclic,40.5,
94,AWJLKQKLXZMPJN-UHFFFAOYSA-N,CC1=CC(=O)C(C)=C(B(O)O)C1=O,179.968,2.0,4.0,1.0,74.6,4.0,2.0,-0.028,,119.0,
96,AXHABQXADKLDMB-UHFFFAOYSA-N,CC1=CC=C(NC2=CC(=O)C=CC2=O)C=C1,213.236,1.0,3.0,2.0,46.17,4.0,2.0,2.175,isocyclic,138.0,
101,AYRNOTNKIMVGIC-UHFFFAOYSA-N,CC1=C(C)C(=O)C(Cl)=C(Cl)C1=O,205.04,0.0,2.0,0.0,34.14,4.0,2.0,1.288,isocyclic,161.66666666666666,4.496912521077347
104,AZMLTPREVRVYKT-UHFFFAOYSA-N,COC1=C(O)C(=O)C(C)=C(Cl)C1=O,202.594,1.0,4.0,1.0,63.6,4.0,2.0,1.118,isocyclic,92.0,
105,AZNUMSPKIQJTGY-UHFFFAOYSA-N,COC1=CC(=O)C(O)=CC1=O,154.122,1.0,4.0,1.0,63.6,4.0,2.0,0.36,isocyclic,177.75,2.947456530637899
107,AZQWKYJCGOJGHM-UHFFFAOYSA-N,O=C1C=CC(=O)C=C1,108.097,0.0,2.0,0.0,34.14,4.0,2.0,-0.228,isocyclic,113.8967441860465,2.1204055348526234
111,BAIPVAKHXCPDHC-UHFFFAOYSA-N,CN1C(CCl)=NC2=C1C(=O)C=CC2=O,210.62,0.0,4.0,1.0,51.96,4.0,2.0,0.5479999999999999,,165.0,
112,BAYPRHOLHCTNNC-UHFFFAOYSA-N,CCCCC1=CC(=O)C2=C(C=CC=C2)C1=O,214.264,0.0,2.0,3.0,34.14,4.0,2.0,3.2230000000000003,isocyclic,41.0,3.409545424246464
114,BBAFGZAGSNPDRI-UHFFFAOYSA-N,CC(=O)C1=C(O)C(=O)C=C(O)C1=O,182.133,2.0,5.0,1.0,91.67,4.0,2.0,0.6920000000000001,isocyclic,152.0,
116,BCEIZDMWJVYUOM-UHFFFAOYSA-N,CCCC(=O)C1=CC(=O)C=CC1=O,178.188,0.0,3.0,3.0,51.21,4.0,2.0,0.389,isocyclic,39.75,
118,BCKXYNITNVKCCD-UHFFFAOYSA-N,CC1=CN=C(Cl)C2=C1C(=O)C=CC2=O,207.616,0.0,3.0,0.0,47.03,4.0,2.0,1.125,heterocyclic,150.0,
119,BCPFSVLLVDCDJP-UHFFFAOYSA-N,CC1=CC(=O)C=C(NC2=NC=CC=C2)C1=O,214.224,1.0,4.0,2.0,59.06,4.0,2.0,1.395,,163.0,
123,BEQQYEMVEPYBQK-UHFFFAOYSA-N,OC1=CC(=O)C2=CC=C(Cl)C=C2C1=O,208.601,1.0,3.0,0.0,54.37,4.0,2.0,2.41,isocyclic,208.16666666666666,4.552166761249221
130,BFOTXRXRHJHTDX-UHFFFAOYSA-N,COC1=CC(=O)C(C)=C(O)C1=O,168.149,1.0,4.0,1.0,63.6,4.0,2.0,0.541,isocyclic,201.5,1.9685019685029528
133,BFQZCXJRQTUNQG-UHFFFAOYSA-N,COC1=C(O)C2=C(C=C1)C(=O)C=CC2=O,204.182,1.0,2.0,1.0,63.6,4.0,2.0,0.6809999999999999,isocyclic,160.0,
136,BGPWSHCOHRYUOO-UHFFFAOYSA-N,COC1=CC(=O)NC2=C1C(=O)C=CC2=O,205.17,1.0,5.0,1.0,72.47,4.0,2.0,-0.095,heterocyclic,179.5,
137,BHFFJYOGGRNNAF-UHFFFAOYSA-N,CCC1=C(O)C(=O)C2=C(CCCC2)C1=O,206.241,1.0,3.0,1.0,54.37,4.0,2.0,1.715,isocyclic,102.5,
138,BHGXIKHVSPURPJ-UHFFFAOYSA-N,COC(=O)C1=CC(=O)C=C(C)C1=O,180.16,0.0,4.0,2.0,60.44,4.0,2.0,-0.193,isocyclic,50.8,
139,BHOVYKXIQLQFBE-UHFFFAOYSA-N,CCCC1=CC(=O)C2=C(C=CO2)C1=O,190.199,0.0,2.0,2.0,47.28,4.0,2.0,1.582,heterocyclic,56.5,
141,BIKKFRNAWPZBQE-UHFFFAOYSA-N,COC1=CC2=C(C=C1)C(=O)C=CC2=O,188.183,0.0,2.0,1.0,43.37,4.0,2.0,1.355,isocyclic,134.2,1.1224972160321824
144,BIPZWIXEEGOQQS-UHFFFAOYSA-N,O=C1C2=C(C=CC=C2)C(=O)C2=C1C=NC=N2,210.192,0.0,4.0,0.0,59.92,4.0,2.0,0.904,heterocyclic,231.5,
146,BIUBEGIHROOPTQ-UHFFFAOYSA-N,CC1=CC(=O)C(Cl)=CC1=O,156.569,0.0,2.0,0.0,34.14,4.0,2.0,0.53,isocyclic,103.89545454545454,1.4901882958286827
153,BKJZUVAAROMATH-UHFFFAOYSA-N,OC1=C(C=C)C(=O)C2=CC=CC=C2C1=O,200.194,1.0,3.0,1.0,54.37,4.0,2.0,2.432,isocyclic,122.5,
155,BKYMFRBGGQNXLU-UHFFFAOYSA-N,CC1=CC(=O)C(C#N)=C(C#N)C1=O,172.143,0.0,4.0,0.0,81.72,4.0,2.0,-0.765,isocyclic,161.5,
156,BLKIHIJUMUTVOV-UHFFFAOYSA-N,CC1=CC(=O)C(NCCCl)=CC1=O,199.637,1.0,3.0,3.0,46.17,4.0,2.0,1.118,isocyclic,99.0,
159,BMGSJTJDYFXBKJ-UHFFFAOYSA-N,CC1=NOC2=C1C(=O)C1=C(C=CC=C1)C2=O,213.192,0.0,2.0,0.0,60.17,4.0,2.0,2.252,heterocyclic,184.5,
161,BNVUMNYCEYSHRI-UHFFFAOYSA-N,CC(C)C1=CC(=O)C=C(C)C1=O,164.204,0.0,2.0,1.0,34.14,4.0,2.0,1.102,isocyclic,120.5,
162,BOEZUCUORQCPJY-UHFFFAOYSA-N,COC1=C(O)C(=O)C(OC)=C(O)C1=O,200.148,2.0,6.0,2.0,93.06,4.0,2.0,0.948,isocyclic,236.125,0.8926785535678563
165,BOMIYJVGYSPPGO-UHFFFAOYSA-N,CC1=CSC2=C1C(=O)C=CC2=O,178.21099999999996,0.0,2.0,0.0,62.38,4.0,2.0,0.8340000000000001,heterocyclic,137.5,
166,BOQGTMCXNFOVNQ-UHFFFAOYSA-N,CC1=CCC2=C(C1)C(=O)C1=C(N=CN1)C2=O,214.224,1.0,4.0,0.0,62.82,4.0,2.0,1.074,heterocyclic,293.0,
168,BPNCBCPAZYLGFJ-UHFFFAOYSA-N,CCC1=C(CC)C(=O)C(C)=C(C)C1=O,192.258,0.0,2.0,2.0,34.14,4.0,2.0,1.4240000000000002,isocyclic,26.5,
169,BPQJXWLVDGCADW-UHFFFAOYSA-N,CNC1=CC=CC=C1.O=C1C=CC(=O)C=C1,215.252,1.0,3.0,1.0,46.17,3.0,2.0,,isocyclic,150.0,
171,BPZJIMFTBGQOOR-UHFFFAOYSA-N,CC1=CC(=O)C=C(C1=O)C1=CC=CC=C1,198.221,0.0,2.0,1.0,34.14,4.0,2.0,1.811,isocyclic,51.833333333333336,4.921607686744467
174,BQIBCCMKRXXZPR-UHFFFAOYSA-N,CCC1=CC(=O)C(NC(C)=O)=CC1=O,193.202,1.0,4.0,3.0,63.24,4.0,2.0,0.425,isocyclic,104.0,
177,BQOSRJJEKQXSSE-UHFFFAOYSA-N,CC1=CC(C)=NN1C1=CC(=O)C=CC1=O,202.213,0.0,4.0,1.0,51.96,4.0,2.0,0.655,heterocyclic,130.5,
179,BRDQJSGFZZTALX-UHFFFAOYSA-N,CN1C(CO)=NC2=C1C(=O)C(C)=CC2=O,206.201,1.0,5.0,1.0,72.19,4.0,2.0,-0.545,heterocyclic,168.0,
182,BSDKJOFXZBNNIA-ONEGZZNKSA-N,COC1=CC(=O)C(O)=C(C\C=C\C)C1=O,208.21400000000003,1.0,4.0,3.0,63.6,4.0,2.0,1.921,isocyclic,107.0,
192,BUIGYWDODHMQAB-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1C1CCC2C1,174.199,0.0,2.0,0.0,34.14,4.0,2.0,0.821,isocyclic,41.0,1.224744871391589
194,BUOSDVBUSPVQKZ-UHFFFAOYSA-N,CC1=C(C)C(=O)C(O)=C(C)C1=O,166.17700000000005,1.0,3.0,0.0,54.37,4.0,2.0,0.6629999999999999,isocyclic,95.0625,0.44633927678392815
199,BVHCBTOEYJWSNO-UHFFFAOYSA-N,CCCCC1=CC(=O)C2=C(C=CO2)C1=O,204.225,0.0,2.0,3.0,47.28,4.0,2.0,2.151,heterocyclic,43.5,
201,BVPBRWOAQDQVGW-UHFFFAOYSA-N,CCCNC1=CC(=O)C=CC1=O,165.192,1.0,3.0,3.0,46.17,4.0,2.0,0.953,isocyclic,111.0,
204,BVUWPQOKNHSXCF-UHFFFAOYSA-N,CC1=CC(=O)C(O)=C(C)C1=O,152.15,1.0,3.0,0.0,54.37,4.0,2.0,0.482,isocyclic,102.7,0.6782329983125268
208,BWQZEFCRRGHJIF-UHFFFAOYSA-N,O=C1C=CC(=O)C(=C1)C1=CC=C(C=C1)C#C,208.216,0.0,2.0,1.0,34.14,4.0,2.0,2.128,,120.0,
210,BYEJISRJSQQHFJ-UHFFFAOYSA-N,CC1=C(O)C(=O)C2=C(SC=C2)C1=O,194.211,1.0,3.0,0.0,82.61,4.0,2.0,1.182,heterocyclic,155.25,
211,BYMWMSYFGDGSCU-UHFFFAOYSA-N,CC1=NC2=C(C=C1)C(=O)C=C(C)C2=O,187.198,0.0,3.0,0.0,47.03,4.0,2.0,0.773,heterocyclic,152.0,
214,BYYBBBJMRPEUOI-UHFFFAOYSA-N,CCNC1=C(C)C(=O)C2=C(C=CC=C2)C1=O,215.252,1.0,3.0,2.0,46.17,4.0,2.0,2.444,isocyclic,89.82333333333334,2.959575795428948
217,BZZIJKWURTYMLH-UHFFFAOYSA-N,CN(C)C1=CC(=O)C(=CC1=O)N(C)C,194.233,0.0,4.0,2.0,40.62,4.0,2.0,0.84,isocyclic,172.375,1.4737282653189494
219,CAIIHIVOCSMVSG-UHFFFAOYSA-N,CC1=CC2=C(C=C1)C(=O)C=C(N)C2=O,187.198,1.0,3.0,0.0,60.16,4.0,2.0,1.814,,181.0,
221,CBNGCRFJKHILET-UHFFFAOYSA-N,CCC1=CC(=O)C2=CC(C)=C(C)C=C2C1=O,214.264,0.0,2.0,1.0,34.14,4.0,2.0,2.959,isocyclic,99.25,
222,CBXRVLVYQGCHLN-UHFFFAOYSA-N,CC1=C(C)C(=O)C(N)=C(C)C1=O,165.192,1.0,3.0,0.0,60.16,4.0,2.0,0.252,isocyclic,171.08333333333334,0.5137011669140814
227,CCTJHVLTAJTPBV-UHFFFAOYSA-N,ClC1=CC(=O)C2=CC=CC=C2C1=O,192.601,0.0,2.0,0.0,34.14,4.0,2.0,2.017,isocyclic,113.63888888888889,2.635524170695649
230,CDNWYQTWAGDITK-UHFFFAOYSA-N,COC1=CC(=O)C2=C(OCC2)C1=O,180.16,0.0,4.0,1.0,52.6,4.0,2.0,0.053,heterocyclic,169.0,
232,CEGUEXXETGSIOP-UHFFFAOYSA-N,COC(=O)C1=C(Cl)C(=O)C=CC1=O,200.578,0.0,4.0,2.0,60.44,4.0,2.0,0.203,isocyclic,62.5,
241,CGTKOPHUGPJEPA-UHFFFAOYSA-N,COC1=CC(=O)C=C(Cl)C1=O,172.56799999999996,0.0,3.0,1.0,43.37,4.0,2.0,0.589,isocyclic,157.75,0.7359800721939872
243,CHCSBPUSQXVKHN-UHFFFAOYSA-N,COC1=CC(=O)C(OC(C)=O)=CC1=O,196.16,0.0,5.0,3.0,69.67,4.0,2.0,0.122,isocyclic,124.0,
244,CHJGEZRKXRTIQA-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1C=NC=N2,160.132,0.0,4.0,0.0,59.92,4.0,2.0,-0.764,heterocyclic,355.5,
