Compound,Chemical Name,sigma,tau,SP3,SP2,Ring,V_m (nm3),,r_m (nm),T_m (K),T_m range (K),Eccentricity(Ear),Eccentricity(Eal),T_m Source,Link for V_m,,,,,,,
,"1,1,7,7-Tetraethyl-3,3,5,5-tetramethyl-2,3,6,7-tetrahydro-s-indacene-4,8(1H,5H)-dione",4,3.5,,,,0.5265775,1.899055695,0.5009463651,398.5,398-399,4,8,808188,,,,,,,,
,Mycenon,1,0.5,,,,0.29439,3.396854513,0.4126781561,391,,6,1,1186135,,,,,,,,
,"(12bR,P)-9,12-Dimethoxy-5,7,8,12b-tetrahydrobenzo(c)phenanthrene-1,4-dione",1,1.5,,,,0.386625,2.586485613,0.4519257713,438,437-439,11,8,656486,,,,,,,,
,"(12bR,M)-12-t-Butyl-5,7,8,12b-tetrahydrobenzo(c)phenanthrene-1,4-dione",1,0.5,,,,0.42055,2.377838545,0.4647752673,461.5,461-462,11,8,656487,,,,,,,,
,"6-Pentyl-2,5-bis(2-phenylethylamino)-1,4-benzoquinone",1,10.5,,,,0.584875,1.709767044,0.5187898647,657,656.5-657.5,18,1,1197728,,,,,,,,
,"2,5-bis(p-Tolylvinyl)-1,4-benzoquinone",2,2.5,,,,0.44956,2.224397188,0.4752254432,498,,18,1,1204512,,,,,,,,
,"2-(4',4',5',5'-Tetramethylimidazolin-2-yl)-1,4-benzoquinone-1'-oxyl-3'-oxide",1,0,,,,0.3383225,2.955759667,0.4322623638,376.2,,6,5,1206518,,,,,,,,
,"6-Methoxy-2-methyl-3,5-dihydro-benzo(b)furan-4,7-dione",1,0.5,,,,0.212185,4.712868487,,448.5,,9,1,1100409,,,,,,,,
,"2-Bromo-5,5-dimethoxybenzo(a)anthracene-6,7,12(5H)trione",1,1.5,,,,0.410825,2.434126453,,478,,14,4,172201,,,,,,,,
,"2-t-butyl-6,6-dimethyl-4H-indolo[1,2-a]indole-1,4(6H)-dione",1,0.5,,,,0.413955,2.415721516,,481,,13,3,1053149,,,,,,,,
,"pseudo-gem-14,17-bis(Dimethylamino)(3)(2,5)-p-benzochinono(3)paracyclophane",2,2.5,2,0,1,0.2361225,4.235089837,,451.5,178-179C,6,12,1117485,,,,,,,,
,"5-Hydroxy-2-methoxy-9,10-dihydrophenanthrene-1,4-dione",1,1.5,1,0,1,0.28985,3.450060376,,422,148-150C,10,4,848411,,,,,,,,
,"pseudo-gem-14,17-Dimethoxy(3)(2,5)-p-benzoquinone(3)paracyclophane",2,2.5,2,0,1,0.41739,2.39584082,,495.5,222-223C,6,12,1122081,,,,,,,,
,"pseudo-gem-16,19-Dimethoxy(4)(2,5)-p-benzoquinone(4)paracyclophane",2,2.5,2,0,1,0.46443,2.153177013,,460.5,187-188C,6,14,1122117,,,,,,,,
,"(R)-2,3-Dimethoxy-5-(1-phenylallyl)-1,4-benzoquinone",1,4.5,3,1,2,0.3750525,2.666293386,,315,314-316,12,1,1124922,,,,,,,,
,"6-Chloromethyl-2-hydroxy-3,5-dimethyl-1,4-benzoquinone",1,1.5,1,0,1,0.22819,4.382312985,,342,,6,1,1127605,,,,,,,,
,"12,15-Dimethoxy(2)(2,6)-p-benzoquinono(2)paracyclophane",2,2.5,2,0,1,0.3793675,2.635966444,,415,,6,10,1135937,,,,,,,,
,"2,5-bis(4-Ethyl-3,5-dimethylpyrrol-2-yl)cyclohexadiene-1,4-dione",2,3.5,2,0,3,0.46304,2.159640636,,520.5,,16,1,210221,,,,,,,,
,"7-(Dicyanomethylene)-7H-benzocycloheptene-1,4-dione",2,1,0,1,1,0.27512,3.634777552,,503,,11,1,1201754,,,,,,,,
,"2,5-bis(2-Phenylvinyl)-1,4-benzoquinone",2,3.5,0,4,3,0.3999275,2.500453207,,455.5,180-185C,18,1,1204510,,,,,,,,
,"2,5-bis(o-Tolylvinyl)-1,4-benzoquinone",2,3.5,0,4,3,0.44725,2.23588597,,415.5,140-145C,18,1,1204511,,,,,,,,
,"2,5-Dibromo-6-isopropyl-3-methyl-p-benzoquinone",2,1.5,1,0,1,0.2842425,3.51812273,,334,,6,1,180797,,,,,,,,
,"2-Chloro-5-methoxy-3-methylcyclohexa-2,5-diene-1,4-dione",1,1.5,1,0,1,0.20271,4.93315574,,407,133-135C,6,1,616296,,,,,,,,
,"2,6-Dimethyl-3,5-dipropynyl-cyclohexa-2,5-diene-1,4-dione",2,0.5,0,0,1,0.294975,3.390117807,,379.5,106-107C,6,1,1214231,,,,,,,,
,"6-Hydroxy-6'-isopropenyl-3'-methyl-4-pentyl-1,1'-bi(cyclohexane)-2',3,6-triene-2,5-dione",1,5.5,4,1,2,0.5097141667,1.961883866,,323.5,50-51C,6,6,1217430,,,,,,,,
," 6,6,9-Trimethyl-3-pentyl-1H-benzo(c)chromene-1,4(6H)-dione ",1,4.5,4,0,1,0.45393,2.202982839,,354.5,81-82C,10,4,1217432,,,,,,,,
,"2,5-Dichloro-3,6-dicyano-1,4-benzoquinone",3,0.5,0,0,1,0.21709,4.606384449,,482,,6,1,1219215,,,,,,,,
